Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
1961,5944;8296;11872,1780;-2917;-1262,-0.02737436;0.3280065;1.300654,-0.04153898;0.1061152;1.369608,0.1339124;0.1322019;1.349093,0.2116303;0.3055647;1.193591,0.1953124;0.4884472;1.094359,0.1836059;0.5367855;1.079409,-0.009940651;-0.3533054;1.43572,0
1994,6500;8612;11524,1049;-413;-822,-0.0270922;0.3279245;1.301125,-0.04159941;0.1059394;1.369811,0.1338886;0.13287;1.349831,0.2112503;0.3068796;1.19458,0.1942745;0.4889224;1.09562,0.183438;0.5375332;1.08319,-0.009542565;-0.3528936;1.436211,0
2027,5380;8984;12636,1527;-9;-1125,-0.02693521;0.3279151;1.301255,-0.04165686;0.105891;1.369868,0.1342771;0.1341157;1.350925,0.2110974;0.3071144;1.194619,0.1938402;0.4887221;1.095597,0.1818666;0.5344756;1.075047,-0.009475775;-0.3524165;1.436272,0
2061,5880;8484;12076,2179;-896;-809,-0.02668794;0.3278839;1.301693,-0.04174926;0.1058211;1.370013,0.1342712;0.1342113;1.351118,0.2110936;0.3071203;1.194626,0.1932631;0.4881911;1.095023,0.1840427;0.532893;1.06845,-0.009350175;-0.3522584;1.436472,0
2095,6756;8272;11560,3222;883;-1148,-0.02656892;0.3278475;1.301808,-0.04177469;0.105763;1.370077,0.134276;0.1342904;1.351174,0.2111096;0.3064052;1.194189,0.1923992;0.4850103;1.089569,0.1847692;0.5255048;1.056626,-0.00929137;-0.3521117;1.436479,0
2128,5972;9040;12168,3944;1053;-1563,-0.02643276;0.3277881;1.302206,-0.04181221;0.1056838;1.370171,0.1342717;0.1342919;1.351186,0.2109303;0.3041553;1.1923,0.1919841;0.4803659;1.080129,0.1849214;0.5183359;1.043123,-0.009120623;-0.3519945;1.436479,0
2163,5788;9608;11736,3545;-235;-1609,-0.02628134;0.3277341;1.302809,-0.04203562;0.1055766;1.370618,0.1342793;0.1343042;1.351284,0.2119561;0.2985994;1.191309,0.1932983;0.4755331;1.071067,0.1880868;0.5139154;1.03304,-0.009445448;-0.3514915;1.437002,0
2194,5512;9872;11368,2739;426;-1627,-0.0262512;0.3276821;1.303481,-0.04226973;0.1054444;1.371293,0.1345382;0.1339472;1.353109,0.214494;0.2883057;1.189985,0.1958881;0.4665439;1.059224,0.1894243;0.5040259;1.0181,-0.009368291;-0.3515196;1.43782,0
2227,4924;9756;11656,1850;230;-1675,-0.02624367;0.3275619;1.304119,-0.04201197;0.1066336;1.372532,0.134669;0.1334972;1.353671,0.2170444;0.2767522;1.186342,0.1983812;0.4572379;1.040039,0.1915282;0.494254;1.002571,-0.009244922;-0.3516437;1.438015,0
2260,5276;9660;11708,2175;280;-1652,-0.02630407;0.3275891;1.30495,-0.04201838;0.1079425;1.374039,0.1346166;0.1331912;1.353727,0.219821;0.2620611;1.182149,0.200947;0.4469909;1.020691,0.1931823;0.4828897;0.9820227,-0.009511898;-0.3514727;1.438786,0
2293,4572;9592;11980,2179;691;-2007,-0.02652813;0.3276306;1.305973,-0.04211049;0.1086628;1.375269,0.1345493;0.1327469;1.353935,0.2233065;0.2482233;1.175964,0.2065743;0.4230866;1.002456,0.1962751;0.4678713;0.9621485,-0.009439152;-0.3517267;1.438869,0
2327,4800;10156;11620,2236;87;-1946,-0.02667313;0.3274899;1.306219,-0.04217613;0.1090053;1.375378,0.1342686;0.1317714;1.353999,0.2287139;0.229527;1.164883,0.2085851;0.4017112;0.9839713,0.2003866;0.4482215;0.935819,-0.009196273;-0.3522425;1.438551,0
2362,5048;10396;11024,1573;177;-1448,-0.02769781;0.3277143;1.308885,-0.04264594;0.1084653;1.375834,0.1337656;0.1305129;1.35517,0.2334517;0.2157699;1.163476,0.212503;0.3818539;0.9698108,0.2038685;0.4282112;0.9169668,-0.009022278;-0.3530184;1.439469,0
2397,4888;10376;11488,849;-80;-1216,-0.02809756;0.3276759;1.309258,-0.04285554;0.1081313;1.375831,0.1330057;0.1293357;1.355533,0.2392518;0.1897407;1.157632,0.213805;0.3389462;0.9462273,0.2051646;0.3946709;0.8878697,-0.008766898;-0.353527;1.439505,0
2428,4736;9912;11460,1060;-301;-1002,-0.02865591;0.327817;1.309627,-0.04307976;0.1087289;1.376571,0.1317509;0.127304;1.355928,0.2437871;0.1622998;1.161885,0.2161651;0.3066823;0.9472942,0.2067875;0.3572867;0.8725773,-0.008806593;-0.3538809;1.43942,0
2461,4836;9840;11832,1185;-299;-1430,-0.0292914;0.3278682;1.309839,-0.04324405;0.1089477;1.377023,0.1304848;0.1240998;1.356303,0.2457072;0.1428305;1.162236,0.2200651;0.2639206;0.9332452,0.2077819;0.3142611;0.8611026,-0.008307386;-0.3551192;1.439031,0
2492,4692;10096;11672,1297;-347;-1296,-0.02992769;0.3280815;1.310088,-0.04318061;0.1089534;1.377565,0.1260359;0.1031592;1.36318,0.2474559;0.1106736;1.175359,0.22383;0.228497;0.9444363,0.2103982;0.2752206;0.8537073,-0.008189742;-0.357258;1.439189,0
2527,4664;10452;11528,1198;-204;-1320,-0.03060569;0.3285003;1.310688,-0.04316041;0.1089624;1.378409,0.12586;0.1016963;1.363996,0.2338797;0.1036396;1.121945,0.2231706;0.2003382;0.9153425,0.2127363;0.2325991;0.8489157,-0.007807634;-0.3586284;1.439472,0
2563,6108;9684;11724,1160;-619;-790,-0.03120285;0.3288568;1.31124,-0.04307817;0.1089014;1.378834,0.1257485;0.09949448;1.364359,0.2347428;0.08817752;1.123001,0.2230551;0.1632763;0.9175475,0.2147051;0.1909366;0.8456916,-0.007603286;-0.3602133;1.439374,0
2596,4976;9928;11616,2064;-691;-1652,-0.03166109;0.3290656;1.311522,-0.04304935;0.1089033;1.379177,0.1262952;0.1017774;1.36271,0.2342702;0.06757238;1.123055,0.2274151;0.112149;0.9311051,0.2161277;0.1491072;0.8433422,-0.007434697;-0.3607593;1.439336,0
2627,4480;10608;11400,1671;-292;-1321,-0.03185704;0.3291862;1.311754,-0.04275158;0.1088943;1.379711,0.1267634;0.09861916;1.363224,0.2341514;0.04260096;1.127472,0.2279471;0.08733399;0.9314955,0.2174952;0.1092517;0.8418313,-0.007105154;-0.3621004;1.439545,0
2660,4460;10372;11392,1487;437;-806,-0.03194314;0.3292593;1.31188,-0.04222925;0.108733;1.380119,0.1278508;0.09698232;1.36314,0.2320843;0.02491435;1.130375,0.2207677;0.06616719;0.8735737,0.2173378;0.06988464;0.8407581,-0.006938506;-0.3632781;1.439789,0
2693,4664;10272;11440,1180;-398;-538,-0.03197687;0.3292807;1.311717,-0.04189435;0.1085655;1.380038,0.1291176;0.09440109;1.361573,0.2322901;0.01805513;1.129707,0.2200027;0.03805984;0.870459,0.2172276;0.03266968;0.8379108,-0.007049274;-0.3646503;1.439095,0
