Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
1667,0.003108275;-0.1220824;1.713091,0.1791262;-0.1210471;1.677198,0.3331873;-0.1810015;1.570502,0.09952712;-0.2020215;1.493525,0.04923949;-0.2166469;1.494756,0.01313647;-0.5460662;1.691174,0
1700,0.002694876;-0.1221277;1.713621,0.1788932;-0.1197592;1.678278,0.3366871;-0.1722228;1.57329,0.09358043;-0.2054309;1.491312,0.05209597;-0.2266388;1.492816,0.01447445;-0.5441039;1.691872,0
1733,0.002200255;-0.1221495;1.71412,0.1789405;-0.1185709;1.679298,0.3409502;-0.1621542;1.576996,0.09858666;-0.2092807;1.490473,0.06004176;-0.2329472;1.492409,0.01544851;-0.5425526;1.692633,0
1767,0.0018428;-0.1221895;1.714029,0.1789206;-0.1177204;1.679681,0.3512185;-0.146878;1.5823,0.1562577;-0.1752954;1.506206,0.1108852;-0.2092355;1.480575,0.01612131;-0.5416307;1.692462,0
1800,0.001447536;-0.1222044;1.714224,0.1790222;-0.1169423;1.680216,0.3570965;-0.1371549;1.587361,0.1747999;-0.1970392;1.496333,0.123722;-0.2155617;1.482139,0.01658118;-0.5410891;1.692857,0
1833,0.0009195697;-0.1224879;1.716077,0.1792564;-0.1161653;1.681117,0.3621186;-0.1286702;1.594727,0.1836161;-0.1971484;1.497569,0.136004;-0.2175739;1.486445,0.01700543;-0.5406251;1.694246,0
1869,0.0004914454;-0.1224916;1.715331,0.1802685;-0.1065048;1.684892,0.3651202;-0.1215351;1.595776,0.1825667;-0.2008591;1.490387,0.1387261;-0.2240687;1.475909,0.01740177;-0.5396153;1.693673,0
1899,0.0002890549;-0.122646;1.715811,0.1817214;-0.1024402;1.69016,0.3677038;-0.1157673;1.600233,0.2788814;-0.1567779;1.535082,0.2028556;-0.1965565;1.494185,0.0181205;-0.538927;1.694494,0
1934,-0.0005044561;-0.1211043;1.713237,0.1827304;-0.1010085;1.691427,0.3864101;-0.09481251;1.595387,0.1872064;-0.2099751;1.486219,0.142225;-0.2413092;1.47825,0.01884862;-0.53848;1.694612,0
1967,-0.0005343009;-0.1212875;1.713297,0.1832584;-0.100507;1.692112,0.3807654;-0.09916003;1.600247,0.1885182;-0.2139528;1.483566,0.1476251;-0.2448736;1.473675,0.01986671;-0.5376704;1.694526,0
1999,-0.001082729;-0.1204005;1.711527,0.1837388;-0.1004192;1.692602,0.3785436;-0.1027277;1.602352,0.1892161;-0.2176414;1.479762,0.149272;-0.2488242;1.468501,0.02024884;-0.5373875;1.694579,0
2033,-0.001475678;-0.1196485;1.709474,0.1842281;-0.1004549;1.692379,0.3769055;-0.1072804;1.602025,0.1859858;-0.2294535;1.469706,0.1469662;-0.2544951;1.458713,0.02126273;-0.5367416;1.693829,0
2069,-0.001588279;-0.1195567;1.709293,0.1845869;-0.1057568;1.690075,0.3757294;-0.1164346;1.604674,0.1851905;-0.2311538;1.469271,0.1466032;-0.2627023;1.461343,0.02156865;-0.5371478;1.694598,0
2101,-0.001778723;-0.1193487;1.708377,0.1855516;-0.1063617;1.690272,0.3742145;-0.1235497;1.603755,0.1858282;-0.2397182;1.462392,0.1438483;-0.2702293;1.446957,0.02189776;-0.5373207;1.694143,0
2133,-0.00189566;-0.1210489;1.710482,0.1867703;-0.108606;1.692285,0.3719363;-0.136255;1.605963,0.1843323;-0.2459799;1.458344,0.1423543;-0.2832198;1.445747,0.02095774;-0.5376754;1.69394,0
2167,-0.001912348;-0.1220149;1.711505,0.1872666;-0.1105133;1.692888,0.3686996;-0.1453103;1.6069,0.1862457;-0.2602712;1.456842,0.1419528;-0.2958192;1.436306,0.02102612;-0.5379767;1.693844,0
2199,-0.001934058;-0.1224032;1.711405,0.1864116;-0.1126826;1.69166,0.362964;-0.1588721;1.605446,0.1854008;-0.269695;1.446431,0.1411525;-0.3088346;1.420292,0.0212531;-0.5384676;1.691729,0
2233,-0.001864368;-0.1229898;1.712086,0.1841349;-0.1158994;1.69213,0.3569866;-0.1702102;1.610947,0.1894362;-0.2818331;1.441753,0.1422474;-0.3230087;1.414395,0.01953511;-0.5403466;1.691721,0
2267,-0.001941679;-0.1238911;1.713777,0.1823433;-0.1188113;1.689669,0.3525727;-0.1818296;1.617135,0.1912854;-0.2905402;1.439992,0.1471019;-0.3359804;1.406967,0.01881684;-0.541254;1.691678,0
2301,-0.001795005;-0.1241934;1.714109,0.1799412;-0.1214327;1.689868,0.3448969;-0.1954675;1.618969,0.1939065;-0.3033978;1.432392,0.1525168;-0.3444025;1.391702,0.0188324;-0.5421252;1.691531,0
2333,-0.001778776;-0.1245186;1.714452,0.1777542;-0.1247699;1.689749,0.3410521;-0.20565;1.619035,0.2339452;-0.315554;1.445217,0.1746231;-0.3473155;1.392031,0.01730701;-0.5438833;1.690579,0
2368,-0.001568962;-0.124895;1.714593,0.17719;-0.126516;1.687251,0.335623;-0.2191479;1.617356,0.2329763;-0.3205513;1.442197,0.1744198;-0.3590719;1.380406,0.01605318;-0.5453362;1.689915,0
2399,-0.001417297;-0.125221;1.714795,0.1757016;-0.1291778;1.687547,0.331383;-0.2305072;1.616162,0.2359221;-0.3280163;1.441812,0.1809294;-0.3682845;1.377291,0.01474308;-0.5464177;1.689486,0
