Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
2866,-4324;-10980;10568,1238;-501;-972,-0.2663741;-0.08289468;1.065745,-0.2797034;0.01996485;1.279409,-0.1671799;0.1973258;1.219569,-0.008804629;0.1960297;1.217443,-0.02230006;-0.1971444;1.385659,0
2901,-4452;-11348;10512,922;-361;-1107,-0.2662771;-0.08300459;1.065597,-0.2797287;0.01998048;1.279449,-0.1671588;0.1973158;1.219621,-0.008813606;0.1960389;1.217498,-0.02231194;-0.1971256;1.385772,0
2932,-4308;-11116;10428,1487;-586;-1181,-0.2660725;-0.08311579;1.065205,-0.2797601;0.01996506;1.279447,-0.167149;0.1972798;1.219635,-0.00881743;0.1960346;1.217503,-0.02228968;-0.1971412;1.385766,1
2967,-4368;-11300;10500,963;-316;-1104,-0.2656814;-0.08338991;1.064448,-0.2797031;0.01986265;1.279205,-0.1670684;0.197205;1.219489,-0.008833797;0.1960208;1.217462,-0.02239495;-0.1972925;1.38541,1
2998,-4492;-11184;10532,1198;-360;-1098,-0.2657594;-0.08277393;1.066433,-0.2796569;0.01982716;1.279208,-0.16705;0.1971827;1.219482,-0.008835594;0.1960175;1.217459,-0.02239193;-0.1972943;1.385421,1
3034,-4360;-11116;10664,889;-341;-1247,-0.2657375;-0.08259771;1.067128,-0.2796507;0.01981647;1.279206,-0.1670294;0.1971702;1.219497,-0.008833026;0.1960163;1.217464,-0.02240699;-0.1973169;1.385424,1
3066,-4464;-11104;10492,803;-397;-1185,-0.265448;-0.08300444;1.066556,-0.2796489;0.01981287;1.279173,-0.1669938;0.1971378;1.219449,-0.008829565;0.1960159;1.217463,-0.02239428;-0.1973431;1.385406,1
3101,-4568;-11192;10432,619;-353;-1158,-0.2649822;-0.08330417;1.065892,-0.2796389;0.01978922;1.279137,-0.1669649;0.1971146;1.219441,-0.008828775;0.1960159;1.217462,-0.02244868;-0.197413;1.385324,1
3135,-4524;-11380;10496,1111;-463;-1036,-0.2650461;-0.08283605;1.067671,-0.2796466;0.01976461;1.279214,-0.1669635;0.1970774;1.219506,-0.00882885;0.1960162;1.217463,-0.02243172;-0.1974194;1.385367,1
3165,-4392;-11232;10464,1159;-423;-926,-0.2649806;-0.08263107;1.067785,-0.2795856;0.01963579;1.279011,-0.1669022;0.1969775;1.219369,-0.008825088;0.1960132;1.217438,-0.02242418;-0.1974308;1.38529,1
3199,-4492;-11368;10452,693;-309;-1114,-0.2650127;-0.08251342;1.068198,-0.2795734;0.01962405;1.279039,-0.1668916;0.1969618;1.219386,-0.008810533;0.1960216;1.217451,-0.02240711;-0.1974084;1.385332,1
3232,-4536;-11416;10440,1386;-534;-969,-0.264731;-0.08316774;1.066865,-0.2795431;0.01961968;1.279033,-0.1668553;0.1969537;1.21938,-0.008805167;0.1960229;1.217447,-0.02243164;-0.1974803;1.385193,1
3265,-4640;-11276;10504,836;-490;-1056,-0.2646281;-0.08336582;1.06668,-0.2795762;0.0195594;1.279068,-0.1668451;0.1969152;1.219532,-0.008799497;0.1960307;1.21753,-0.02245599;-0.1975048;1.385326,1
3399,-4456;-11240;10408,-1110;-164;-1555,-0.2645522;-0.08296426;1.068236,-0.2795973;0.01934033;1.278857,-0.1667808;0.1967299;1.219529,-0.008761503;0.1960585;1.217459,-0.02249212;-0.1976222;1.385171,1
3522,-4400;-11340;10016,-2316;62;-1737,-0.2646289;-0.08293743;1.068892,-0.2796721;0.01910328;1.278494,-0.1668011;0.1965853;1.219462,-0.008758943;0.1961274;1.217329,-0.02250509;-0.1976998;1.385113,1
3544,-4460;-11848;9720,-4735;447;-2293,-0.2645114;-0.08334603;1.067729,-0.2796853;0.01904881;1.278405,-0.1667871;0.19653;1.219413,-0.008749763;0.1961594;1.217263,-0.02235949;-0.1977177;1.385061,1
3567,-4572;-12480;8916,-5055;572;-2461,-0.2644523;-0.08382488;1.0666,-0.2797112;0.01905434;1.278457,-0.1667966;0.1965089;1.21943,-0.008744697;0.1961899;1.217249,-0.02230671;-0.1977095;1.385102,1
