Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
8031,323,-1232;15712;-3980,1400;-706;-1902,0.03033948;0.07633217;1.252521,0.2072367;0.02691595;1.269534,0.2594942;-0.1625726;1.293996,0.279135;-0.1342494;1.089629,0.271041;-0.1214102;1.048404,0.02037224;-0.4363284;1.396428,1
8063,326,-1692;16108;-4676,1488;-1693;-1766,0.03034843;0.07634003;1.252539,0.2072007;0.02695869;1.269504,0.2591089;-0.1626034;1.294092,0.2775663;-0.1332487;1.089756,0.2693954;-0.1210714;1.044181,0.02042073;-0.4363114;1.396427,1
8097,327,-1768;16260;-4372,805;-1405;-1213,0.03035301;0.07634828;1.252538,0.2071642;0.02699969;1.269475,0.2557494;-0.1989302;1.28272,0.2753378;-0.1257894;1.089863,0.2673417;-0.1177295;1.041956,0.02043148;-0.4363002;1.39642,1
8132,329,-1400;15488;-4608,1253;-117;-718,0.03036208;0.07637138;1.252612,0.2071341;0.02703306;1.26948,0.2560846;-0.2002753;1.283514,0.2743094;-0.123697;1.091868,0.2673913;-0.1201029;1.040137,0.02046025;-0.4362828;1.396465,1
8163,330,-1656;15908;-4372,1114;399;-604,0.03033775;0.07634468;1.252304,0.2070567;0.02709948;1.269351,0.2560245;-0.2007286;1.282346,0.2744501;-0.1224543;1.091413,0.2646216;-0.1237059;1.033461,0.02056701;-0.4361949;1.396209,1
8196,332,-1384;15296;-4052,674;-1044;-557,0.03033926;0.07635954;1.252331,0.2070204;0.02716864;1.269323,0.2548894;-0.16252;1.29808,0.2737993;-0.1248887;1.095151,0.2646382;-0.1243965;1.036283,0.02056986;-0.4361895;1.396211,1
8230,332,-1444;14900;-4216,870;-247;-947,0.03030536;0.07636314;1.252244,0.2070004;0.02721845;1.269282,0.2548243;-0.1624623;1.298121,0.2731965;-0.1244332;1.095215,0.2641873;-0.1236301;1.033198,0.0200635;-0.436312;1.395762,1
8263,332,-1276;15196;-4296,1278;-1087;-1023,0.03029658;0.07639216;1.252335,0.206989;0.02726254;1.26931,0.2545082;-0.1621489;1.299512,0.2734052;-0.1244565;1.096224,0.2640399;-0.1264253;1.035561,0.01994354;-0.4363396;1.395825,1
8298,332,-1420;15556;-4272,799;-1144;-1296,0.03034434;0.07638197;1.252264,0.2069712;0.0273056;1.269271,0.2543001;-0.2032775;1.286467,0.2766757;-0.1200252;1.098124,0.2637295;-0.1258887;1.034718,0.02001771;-0.436324;1.39578,1
8331,331,-1112;15004;-4408,980;-69;-1411,0.03034496;0.07638201;1.252264,0.2069674;0.02734959;1.269267,0.2544042;-0.2033727;1.286492,0.2783431;-0.1181045;1.099266,0.2635424;-0.125769;1.036219,0.0199299;-0.4363908;1.39568,1
8363,330,-1332;15484;-4140,2407;-513;-1202,0.03034508;0.07640598;1.252269,0.2069363;0.02741874;1.269222,0.2550537;-0.203089;1.285636,0.2784491;-0.1176535;1.098417,0.262143;-0.1263372;1.034558,0.01984547;-0.4362677;1.395712,1
