Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
2279,-12224;-1960;10576,9135;5570;4040,-0.2229824;-0.4029595;1.35806,-0.3001539;-0.3480839;1.555636,-0.2185432;-0.1719893;1.688009,-0.03780973;-0.1175488;1.676005,-0.06029528;-0.5130677;1.604356,0
2313,-16176;-6124;14356,11696;4197;5731,-0.245444;-0.3607091;1.339248,-0.2949363;-0.3555047;1.559994,-0.2185072;-0.1718965;1.687808,-0.03778189;-0.117538;1.675994,-0.06031686;-0.5129997;1.604263,0
2345,-16448;-2000;11360,10820;-3560;-1935,-0.2249442;-0.366443;1.368886,-0.2925075;-0.3563288;1.582296,-0.217323;-0.1712519;1.688093,-0.03775261;-0.1175285;1.67599,-0.06028006;-0.5129036;1.604264,0
2379,-13004;2528;6856,-5199;-7408;-7904,-0.2629712;-0.3529635;1.383209,-0.2923452;-0.3563439;1.584653,-0.2173701;-0.1712219;1.688088,-0.03773855;-0.1175324;1.676007,-0.06028787;-0.5128815;1.604289,0
2419,-11836;2412;3796,-9744;-3409;-7326,-0.2506263;-0.3550254;1.320651,-0.291997;-0.3568769;1.584626,-0.2174025;-0.1712017;1.688051,-0.03768859;-0.1175418;1.676063,-0.06028315;-0.5129278;1.604273,0
2445,-11104;924;4736,-5547;288;-4572,-0.2536034;-0.3551948;1.322093,-0.2924115;-0.3558266;1.586467,-0.217401;-0.1711395;1.687857,-0.03764871;-0.1175416;1.676017,-0.06025264;-0.5129162;1.604206,0
2478,-13004;-4188;8952,6686;3030;3817,-0.2559852;-0.3552333;1.32384,-0.2910039;-0.3564045;1.588747,-0.2174619;-0.1711916;1.687679,-0.0375574;-0.1175779;1.675908,-0.06017438;-0.5129186;1.60417,0
2512,-12020;-1944;10660,12028;2076;2514,-0.2561124;-0.3552402;1.322791,-0.2905419;-0.3568446;1.58778,-0.2174543;-0.1709951;1.687216,-0.03738947;-0.1175735;1.675689,-0.06012237;-0.5128251;1.604032,0
2544,-11352;32;10732,-692;-37;347,-0.2556977;-0.3552409;1.324222,-0.2902266;-0.3564006;1.589207,-0.2175169;-0.1710474;1.687098,-0.03730205;-0.117592;1.675529,-0.06010503;-0.5128137;1.603982,0
2579,-11900;-548;9740,-2072;-652;120,-0.2597614;-0.3567002;1.324132,-0.2899503;-0.3565559;1.589651,-0.2175471;-0.1710487;1.687121,-0.03723006;-0.117581;1.675539,-0.0601525;-0.5128041;1.603984,0
2610,-12816;-288;8932,-1422;-2158;1792,-0.2583099;-0.3565528;1.324282,-0.2898789;-0.3565911;1.589649,-0.2174847;-0.1709846;1.687008,-0.03700084;-0.1175874;1.675346,-0.06013387;-0.5127573;1.603924,0
2646,-14096;-2784;9540,2291;-1139;4240,-0.2586306;-0.3563985;1.326333,-0.2898467;-0.3560233;1.591746,-0.2175307;-0.1709924;1.687038,-0.03692862;-0.1175978;1.675467,-0.06014799;-0.5127023;1.603971,0
2677,-14600;-2684;9008,368;-2118;855,-0.275879;-0.3606277;1.325814,-0.2893378;-0.3566217;1.592674,-0.2175182;-0.1709456;1.687036,-0.03689108;-0.1176191;1.675477,-0.06014297;-0.5126779;1.603979,0
2712,-13224;-2872;7860,-3990;-2533;-2893,-0.2388164;-0.4303412;1.343464,-0.289993;-0.3561599;1.594793,-0.2175631;-0.170935;1.6875,-0.03679444;-0.1176658;1.676141,-0.06010867;-0.5126851;1.604098,0
2744,-12388;-1328;6932,-4448;-1664;-4501,-0.2620611;-0.3554623;1.326702,-0.2894115;-0.3570211;1.592556,-0.217602;-0.1709509;1.687484,-0.03676628;-0.1176826;1.676153,-0.06010277;-0.5126961;1.60409,0
2780,-11960;-792;7404,-3130;-842;-3151,-0.2625433;-0.3556679;1.327413,-0.2885596;-0.3574175;1.593406,-0.2175588;-0.1708909;1.687418,-0.03668305;-0.1176803;1.676135,-0.06006927;-0.512754;1.604064,0
2812,-11924;-2156;9260,2117;-379;-1242,-0.265132;-0.3564991;1.32791,-0.2890838;-0.3570668;1.594105,-0.2175367;-0.1709017;1.687371,-0.03656154;-0.1177388;1.676113,-0.06006794;-0.5127717;1.604052,0
2845,-11536;-864;9996,3633;-141;-476,-0.2647503;-0.3563797;1.328694,-0.2892179;-0.3565893;1.594849,-0.2175034;-0.1708724;1.687321,-0.03649183;-0.1177496;1.676106,-0.06002031;-0.5127198;1.604097,0
2879,-11992;-768;10132,522;-120;345,-0.2642448;-0.3563702;1.329969,-0.2881889;-0.3572717;1.596176,-0.2174992;-0.1708845;1.687315,-0.03646067;-0.1177859;1.676125,-0.06003105;-0.5127273;1.604103,1
2911,-12416;-2044;9460,487;-1181;913,-0.2642874;-0.3563277;1.330618,-0.2882578;-0.3569649;1.596828,-0.2175002;-0.1708842;1.687312,-0.03643528;-0.1177863;1.676118,-0.06002365;-0.5127215;1.604107,1
2945,-13216;-3392;9576,928;-1409;1207,-0.2641495;-0.3562612;1.330815,-0.2883149;-0.3567406;1.597013,-0.217503;-0.1708593;1.687327,-0.03640832;-0.1177946;1.676131,-0.05997696;-0.5127417;1.604107,1
2978,-14192;-4548;9948,1477;-2396;-757,-0.263366;-0.3560807;1.33089,-0.2882111;-0.356769;1.597032,-0.2174377;-0.1709251;1.686951,-0.03638501;-0.1178368;1.675928,-0.05983827;-0.5128183;1.603983,1
3012,-11740;-772;7240,-1991;-3588;-5274,-0.2634546;-0.3565181;1.330914,-0.2882642;-0.3567832;1.597065,-0.2174917;-0.1709156;1.687041,-0.03635446;-0.1178355;1.675931,-0.05982299;-0.5127511;1.604084,1
3045,-10888;-712;6520,-6417;-694;-4876,-0.2636596;-0.3566608;1.331687,-0.2887395;-0.3565728;1.597817,-0.21736;-0.1707081;1.687105,-0.03634709;-0.1178352;1.675912,-0.05981673;-0.5127311;1.604094,1
3078,-11128;-2784;7756,-205;222;-1732,-0.2633854;-0.3569299;1.328249,-0.2879713;-0.3582346;1.59443,-0.2171918;-0.1707241;1.686575,-0.03621361;-0.1178867;1.675385,-0.05967668;-0.5126376;1.603522,1
3112,-11848;-2812;9772,6560;546;932,-0.2633555;-0.3577243;1.328628,-0.2880335;-0.3583014;1.594808,-0.2173207;-0.1707684;1.686965,-0.03629679;-0.1179325;1.675614,-0.05976111;-0.5125357;1.60372,1
3145,-12196;-1028;9824,4001;290;18,-0.2640933;-0.3585968;1.329951,-0.2876081;-0.3586433;1.596241,-0.2173344;-0.1707828;1.686989,-0.0363057;-0.1179669;1.675626,-0.05983559;-0.5125347;1.603844,1
3178,-12656;-1756;10492,700;158;-189,-0.2645269;-0.3593828;1.329752,-0.2879782;-0.3586145;1.596051,-0.2173311;-0.1708063;1.686907,-0.03630319;-0.1180049;1.675493,-0.05985519;-0.5125179;1.603823,1
3212,-12648;-2036;10088,1070;-786;-49,-0.2649035;-0.3597972;1.329335,-0.2887993;-0.3586688;1.5956,-0.217365;-0.1708936;1.686909,-0.03624659;-0.1180373;1.675542,-0.05978697;-0.5125867;1.603862,1
3245,-12228;-2108;9732,-799;-1368;-679,-0.264415;-0.3603574;1.329619,-0.2888199;-0.3586279;1.59584,-0.2173899;-0.1709291;1.686943,-0.03625405;-0.1180422;1.675547,-0.05980778;-0.5125977;1.603894,1
3278,-12060;-1616;8984,-954;-1431;-670,-0.264558;-0.3612047;1.330436,-0.2892161;-0.3586763;1.596631,-0.2174605;-0.1710675;1.687156,-0.03627031;-0.1181146;1.67585,-0.05978322;-0.5126129;1.603952,1
3312,-11920;-1784;8416,-1007;-1071;-216,-0.2647343;-0.3613077;1.333586,-0.2914082;-0.3553619;1.599534,-0.2174948;-0.1711335;1.687045,-0.03625575;-0.1181339;1.675691,-0.05976894;-0.5126206;1.603916,1
3343,-11960;-2548;8120,-223;-743;60,-0.2664475;-0.3637575;1.334318,-0.2918786;-0.3552591;1.600317,-0.2178251;-0.1714981;1.687233,-0.03628824;-0.1181508;1.675777,-0.05980583;-0.5126563;1.603978,1
3377,-12304;-2796;8184,593;-258;-227,-0.2664829;-0.3645885;1.33435,-0.2918778;-0.3552595;1.600328,-0.2179103;-0.1716446;1.686851,-0.03627672;-0.1181946;1.675612,-0.05976899;-0.5126272;1.603882,1
3412,-12640;-2152;8784,391;95;-961,-0.2650313;-0.3676154;1.335156,-0.2923048;-0.3556182;1.600841,-0.2182413;-0.1719441;1.687462,-0.03638871;-0.1183118;1.67614,-0.05986293;-0.5125216;1.604373,1
3445,-12592;-2008;9200,479;14;-1058,-0.2481882;-0.4009592;1.342865,-0.2946226;-0.3546949;1.601963,-0.2183227;-0.1720673;1.687487,-0.03636958;-0.1183451;1.676152,-0.05989715;-0.5125269;1.604349,1
3476,-12304;-1924;9484,650;-533;-897,-0.2632325;-0.3706527;1.38398,-0.2897246;-0.3487104;1.649081,-0.2183632;-0.172189;1.687459,-0.03629736;-0.1183761;1.676041,-0.05991558;-0.5125281;1.60433,1
3512,-12052;-1844;9548,216;-770;-761,-0.2485872;-0.3668855;1.381507,-0.2995822;-0.339996;1.627667,-0.2184905;-0.1722791;1.687726,-0.03630687;-0.1183914;1.676279,-0.05997502;-0.5125074;1.604424,1
3544,-11876;-1904;9288,-295;-1044;-385,-0.2339741;-0.3797393;1.352593,-0.2998385;-0.3479296;1.58078,-0.2185312;-0.1723137;1.687732,-0.03631775;-0.118408;1.67627,-0.05997954;-0.5125396;1.604428,1
