Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
1866,324;8120;-14668,-26450;-624;214,-0.004637184;-0.1194941;1.710922,0.1721577;-0.1440234;1.673808,0.2657446;-0.3494036;1.603167,0.1932425;-0.3772301;1.3943,-0.04028261;-0.5544511;1.67412,0
1900,-260;11132;-12904,-19015;-418;-1940,-0.00462344;-0.1195487;1.711066,0.1722322;-0.1440562;1.673978,0.2638498;-0.3511841;1.599612,0.1929096;-0.3772087;1.394563,-0.04052214;-0.5545537;1.674202,0
1931,-172;11984;-11296,-20701;-743;-913,-0.00465701;-0.1195446;1.711051,0.1722348;-0.1440403;1.673972,0.2641128;-0.3505262;1.600875,0.1918047;-0.377099;1.393882,-0.04065311;-0.5545356;1.674068,0
1966,-336;13876;-9300,-19307;-1115;-1097,-0.004655422;-0.1195501;1.711056,0.1722815;-0.1440488;1.673962,0.2623349;-0.3518281;1.597602,0.1914834;-0.3769901;1.393911,-0.04076201;-0.554494;1.673983,0
1999,-388;13188;-7772,-16666;-954;-1361,-0.004665325;-0.1196093;1.711075,0.1723525;-0.1440493;1.673988,0.2624074;-0.3518116;1.59757,0.1910001;-0.3769174;1.394041,-0.04087036;-0.5545715;1.673961,0
2032,-676;15924;-5980,-14921;-1543;-1905,-0.004670592;-0.1196123;1.711079,0.1723565;-0.1440403;1.673983,0.2622833;-0.351901;1.5975,0.1906924;-0.3768795;1.394327,-0.04097835;-0.5545278;1.673861,0
2065,-384;15308;-4232,-13535;-1062;-990,-0.004698794;-0.1196465;1.711067,0.1724525;-0.1440986;1.673917,0.2626185;-0.3514443;1.598544,0.1904528;-0.376871;1.394389,-0.04110441;-0.5545621;1.673823,0
2100,-728;15968;-2628,-13536;-1262;-880,-0.004701807;-0.1196874;1.711015,0.1692969;-0.143273;1.667559,0.2627014;-0.3511441;1.599177,0.1894687;-0.3766581;1.393583,-0.04133573;-0.5547167;1.673643,0
2134,-432;15532;-1136,-12154;-1137;-174,-0.004728841;-0.1197451;1.711234,0.1700541;-0.1434345;1.670514,0.2623098;-0.3525908;1.598244,0.1892716;-0.3769441;1.394268,-0.04138983;-0.5546886;1.673673,0
2166,-572;15872;-292,-10691;-1114;-270,-0.004699843;-0.119791;1.711278,0.170205;-0.143457;1.670882,0.2622654;-0.3524455;1.598276,0.1892316;-0.3770217;1.394746,-0.04151359;-0.5547673;1.673658,0
2198,-596;15940;872,-10853;-1123;-606,-0.004755823;-0.1198184;1.711207,0.1683595;-0.1431795;1.666713,0.2614115;-0.3528736;1.596452,0.1883719;-0.3768688;1.393909,-0.04169829;-0.5548944;1.673511,0
2231,-544;15404;2060,-9596;-814;-372,-0.004761296;-0.1198633;1.711147,0.1689344;-0.1433588;1.667809,0.2614365;-0.3526537;1.596425,0.188208;-0.3768966;1.393727,-0.04176021;-0.5548706;1.673433,0
2265,-408;15328;2696,-8515;-875;-816,-0.004791506;-0.1198828;1.711134,0.1693937;-0.1434643;1.668832,0.2614335;-0.3526163;1.596463,0.1880401;-0.3769653;1.394007,-0.04182214;-0.5548867;1.673415,0
2300,-528;15092;3560,-7305;-736;-523,-0.004809568;-0.1198863;1.711085,0.1696517;-0.1435093;1.669195,0.2609291;-0.3529116;1.595636,0.1877087;-0.3768847;1.39386,-0.04190528;-0.554872;1.673324,0
2333,-672;15808;4296,-8498;-1081;-815,-0.004846779;-0.1199156;1.711073,0.1697532;-0.1435608;1.669608,0.2609595;-0.3527797;1.595663,0.1873836;-0.3768551;1.393811,-0.04199522;-0.5549138;1.673317,0
2365,-564;14940;5176,-7910;-630;-363,-0.004784144;-0.1199917;1.710971,0.1698555;-0.1435697;1.669818,0.2606006;-0.3527699;1.595103,0.187056;-0.3768675;1.393928,-0.03845954;-0.5561847;1.671722,0
2399,-368;14068;5956,-7244;-509;-815,-0.004403641;-0.1199471;1.710946,0.1699094;-0.1435544;1.669991,0.2569922;-0.3562721;1.585729,0.1862503;-0.3767604;1.393844,-0.02071109;-0.5514011;1.676812,0
2431,-536;14136;6352,-5110;-544;-708,-0.004310953;-0.119937;1.710947,0.1699349;-0.1435482;1.670138,0.2567362;-0.356203;1.5855,0.180325;-0.3820823;1.386823,-0.01769779;-0.5513038;1.678227,0
2463,-548;13444;6788,-4458;-304;-847,-0.004096186;-0.1199719;1.710885,0.1699659;-0.1435012;1.670277,0.2563771;-0.3561637;1.58526,0.1758586;-0.38083;1.371808,-0.01625246;-0.5512239;1.678807,0
2498,-404;13800;7500,-3988;-581;-1045,-0.003981489;-0.1199778;1.710688,0.1699507;-0.1434829;1.670228,0.2543689;-0.35859;1.576739,0.1644667;-0.4084719;1.335487,-0.01530335;-0.5511864;1.678819,0
2533,-780;14008;7740,-5230;-529;-1528,-0.003948259;-0.1199811;1.710688,0.1699469;-0.143487;1.670348,0.2540661;-0.3593009;1.575117,0.1637228;-0.4084491;1.333877,-0.01454644;-0.5509823;1.679,0
2567,-772;13428;7864,-5237;-315;-1346,-0.003893064;-0.1200066;1.710733,0.1699494;-0.143479;1.670458,0.2536999;-0.3598277;1.574007,0.1632668;-0.4089489;1.332795,-0.01400129;-0.5510104;1.679414,0
