Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
2167,-3620;-16188;-1868,1022;-400;-896,0.23136;0.2547794;1.605191,-0.02718516;0.5396133;1.322772,-0.03141441;0.4829955;1.371968,-0.02728037;0.2539688;1.478876,0.06734478;0.05138078;1.600611,0.2240559;0.02985153;1.55339,0.1951058;-0.4185413;1.473376,0
2201,-3532;-16284;-1792,1193;-207;-1265,0.2312263;0.254573;1.605029,-0.02936878;0.5009407;1.281957,-0.03256292;0.4541484;1.329535,-0.0293508;0.2343597;1.456242,0.06710947;0.04760417;1.597733,0.2238415;0.02966607;1.553374,0.1949618;-0.4185657;1.472271,0
2233,-3524;-15984;-1552,941;-342;-1317,0.230914;0.2543163;1.604677,-0.02898465;0.4664074;1.232677,-0.03403188;0.423691;1.283201,-0.03174568;0.2184492;1.434025,0.0672119;0.04481976;1.595313,0.2235728;0.02942397;1.553219,0.1946367;-0.4189779;1.470657,0
2269,-3536;-15988;-1556,70;-173;-1432,0.2304084;0.2537813;1.604216,-0.03364242;0.4190506;1.186676,-0.04050398;0.3756388;1.227649,-0.03214329;0.2008738;1.412142,0.06730758;0.04282208;1.59387,0.2233617;0.02911551;1.55328,0.194635;-0.4194834;1.469933,0
2301,-3624;-16248;-1904,-350;-8;-1457,0.229461;0.2531621;1.603747,-0.03735908;0.3652767;1.140952,-0.04187511;0.3297885;1.188641,-0.03472916;0.1689354;1.388174,0.06747632;0.03992179;1.591045,0.2231974;0.02885642;1.553216,0.1961767;-0.4216257;1.467256,0
2335,-3520;-16032;-1832,914;-662;-1406,0.2285418;0.2530839;1.604545,-0.03666455;0.3197405;1.091669,-0.04706175;0.2557974;1.185112,-0.03545057;0.1258626;1.389121,0.06773672;0.03823802;1.58978,0.2229751;0.02852258;1.553432,0.1961085;-0.4225349;1.466791,0
2366,-3268;-15872;-1908,914;-670;-1221,0.2278403;0.2529892;1.60478,-0.04261609;0.2533972;1.068451,-0.05045684;0.2159951;1.135403,-0.03569761;0.09718823;1.354923,0.06797352;0.03604994;1.587595,0.2225186;0.02818278;1.553317,0.1960917;-0.4235009;1.466135,0
2400,-3160;-16036;-2176,664;-535;-1087,0.2268167;0.2527604;1.604148,-0.03025377;0.2136016;1.012216,-0.0527299;0.1258934;1.181547,-0.03005338;0.03804265;1.401118,0.06877279;0.0251213;1.577591,0.2222321;0.02760013;1.553483,0.2008768;-0.4380608;1.483643,0
2433,-3316;-16336;-2300,1179;-586;-934,0.2256386;0.2504837;1.599806,-0.02724196;0.1518799;0.9879594,-0.05351234;0.100076;1.093691,-0.03527126;0.02350897;1.338621,0.06902961;0.02332327;1.57564,0.2217135;0.02715301;1.552957,0.1982309;-0.435201;1.471423,0
2467,-3244;-16184;-2192,1120;-413;-981,0.2250505;0.2509218;1.600155,-0.02662313;0.08830072;0.9813241,-0.05737928;0.02366973;1.127941,-0.0344748;0.01741467;1.338962,0.0689244;0.02049844;1.572268,0.2214676;0.02698378;1.552805,0.198154;-0.4348759;1.469738,0
