Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
4067,320,-6012;11696;8220,1092;-468;-886,-0.07674452;0.01687359;1.20347,0.08879303;-0.01427791;1.190878,0.1368248;-0.2037235;1.149301,0.09578507;-0.2433547;0.9027826,0.04983952;-0.2511419;0.8207,-0.07694417;-0.4540743;1.267628,1
4105,320,-5936;11948;8092,1289;-471;-769,-0.07679299;0.01685415;1.203466,0.08875694;-0.01436869;1.190928,0.1362352;-0.2036375;1.149464,0.09642185;-0.2430743;0.9027134,0.04878174;-0.2509922;0.8206777,-0.07753036;-0.4537711;1.267138,1
4137,319,-5860;12080;8024,1257;-553;-665,-0.07693623;0.01681253;1.203253,0.0887094;-0.01444636;1.190831,0.1361882;-0.2034495;1.149273,0.09449927;-0.2424725;0.9027668,0.04785061;-0.2504621;0.8198289,-0.07828198;-0.4537919;1.266255,1
4170,320,-6024;12184;7956,1180;-524;-356,-0.07700578;0.01679757;1.203252,0.08870842;-0.01444582;1.190831,0.1356294;-0.202978;1.149458,0.09364197;-0.2424925;0.9030803,0.04715312;-0.2509273;0.8219899,-0.07828026;-0.4537846;1.266024,1
4204,321,-6112;11896;7992,1488;-983;219,-0.07709979;0.01681688;1.203301,0.08871397;-0.01443215;1.190844,0.1355351;-0.2027925;1.149546,0.09432076;-0.2414728;0.902907,0.04661782;-0.2514893;0.8228629,-0.07833927;-0.4537692;1.265974,1
4237,320,-6160;12044;8204,1211;-1146;968,-0.07710096;0.01681422;1.203284,0.08869;-0.01447249;1.190848,0.135505;-0.2027757;1.149526,0.09477999;-0.2413914;0.9027957,0.04583959;-0.251414;0.8214644,-0.07848303;-0.453804;1.265718,1
4267,319,-5776;11932;8656,611;-1819;1504,-0.07716137;0.01686159;1.203201,0.08869241;-0.01446332;1.190858,0.1351957;-0.202647;1.149469,0.09568337;-0.2414361;0.9025695,0.04565776;-0.2513108;0.8213414,-0.07859506;-0.4537878;1.265522,1
4303,318,-5444;11144;8988,92;-2687;1839,-0.0772156;0.0168725;1.203163,0.08868758;-0.01446424;1.190859,0.1352775;-0.2025624;1.149382,0.09577125;-0.2413822;0.9024861,0.04513874;-0.251468;0.8206185,-0.07856536;-0.4536224;1.26505,1
4336,317,-4908;11644;8720,1854;-2310;952,-0.07723366;0.01686935;1.203164,0.08867555;-0.01447774;1.190872,0.1353643;-0.2024291;1.14954,0.09599675;-0.2414816;0.9026585,0.0450781;-0.2524013;0.8211211,-0.07848081;-0.4535648;1.264914,1
4368,318,-4564;12452;8708,1545;-1818;-94,-0.07728308;0.01687442;1.203091,0.08866456;-0.01448089;1.190866,0.1352211;-0.2024166;1.149501,0.09190012;-0.2417794;0.9033318,0.04552639;-0.251544;0.8200242,-0.07834087;-0.4534174;1.264673,1
4405,317,-3696;12508;8396,1002;-1260;-1044,-0.0773546;0.01689142;1.203205,0.08866077;-0.01444757;1.190957,0.1351322;-0.2023737;1.149728,0.09098421;-0.2422737;0.9037915,0.04471639;-0.2535667;0.824135,-0.07849307;-0.4533972;1.264723,1
4434,318,-3396;12360;8120,972;-138;-1596,-0.0773943;0.01686986;1.203212,0.0886509;-0.01447543;1.190969,0.135083;-0.2023371;1.14973,0.09052059;-0.2426574;0.9039374,0.04476238;-0.2530639;0.8223388,-0.07848853;-0.4533908;1.264722,1
4470,318,-4784;12748;8172,1238;393;-1693,-0.07744734;0.01682422;1.203046,0.08858745;-0.0145967;1.190889,0.1350499;-0.2023255;1.149704,0.09295022;-0.2419698;0.9033688,0.0448944;-0.2530301;0.8217453,-0.07863196;-0.4533163;1.264388,1
4500,318,-5492;12552;8280,751;-186;-810,-0.07753263;0.01678394;1.20308,0.08858781;-0.01459609;1.190889,0.1350594;-0.2022803;1.149675,0.09170599;-0.2423413;0.9036247,0.04464038;-0.2537268;0.8218669,-0.07871877;-0.4531603;1.26438,2
4537,317,-5364;12100;8640,515;-606;-429,-0.07752817;0.01676708;1.203084,0.08857846;-0.01460371;1.190882,0.1351248;-0.2022666;1.149718,0.09165459;-0.2425692;0.9037285,0.04464313;-0.2539563;0.8222364,-0.07878803;-0.453135;1.264331,2
4571,319,-5036;11792;8956,601;-712;-533,-0.07764814;0.01675943;1.203135,0.08857352;-0.01459657;1.190892,0.1348619;-0.2022524;1.149724,0.09063175;-0.2428395;0.9039168,0.04381404;-0.2547467;0.8224523,-0.07893813;-0.4530658;1.264244,2
4603,317,-4772;11664;9096,762;-675;-764,-0.07754792;0.01668919;1.202646,0.0885503;-0.01459759;1.190849,0.1348102;-0.2022312;1.148807,0.09029806;-0.2429511;0.9030719,0.04524754;-0.2530766;0.820586,-0.0780131;-0.4532192;1.262991,2
4637,317,-4524;11612;9012,1647;-601;-847,-0.07754827;0.01667813;1.202662,0.08854157;-0.01459608;1.190859,0.1348657;-0.2022049;1.14899,0.09030457;-0.2430766;0.9032888,0.04397357;-0.2547028;0.8227416,-0.0780891;-0.4531191;1.263079,2
4670,317,-4360;12360;8472,2062;-526;-1065,-0.07762854;0.01664613;1.202529,0.08846626;-0.01472468;1.190749,0.1347479;-0.2022195;1.148867,0.09375095;-0.2435163;0.902617,0.04445974;-0.2539663;0.8197456,-0.07823287;-0.4531126;1.262821,2
4703,319,-4668;12852;7952,1461;-401;-1075,-0.07765923;0.01658206;1.20233,0.08843159;-0.01478918;1.190697,0.1346731;-0.2021782;1.148674,0.09124316;-0.2432913;0.9028106,0.04402425;-0.2540211;0.8193881,-0.07823133;-0.452933;1.262602,2
4734,318,-4620;12588;8220,797;-401;-965,-0.07766775;0.01658006;1.202303,0.08838495;-0.0148419;1.190649,0.1346627;-0.2021929;1.148655,0.09122232;-0.2434389;0.9028159,0.04404198;-0.255295;0.8210559,-0.07819733;-0.452961;1.262473,2
