Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,
4597,-14016,-3548,-1524,147.089575,156.7970974,1
4633,-13984,-3992,-2006,145.4519313,156.5849289,1
4664,-14312,-4280,-1434,143.5156261,156.0718907,1
4697,-14104,-4016,-839,141.8164517,155.3442896,1
4733,-14068,-3900,-865,137.0152184,154.0347722,1
4764,-14072,-3648,-824,133.594967,152.2137641,1
4797,-14168,-3964,-1548,147.8081635,136.182906,1
4832,-14204,-4056,-1052,133.9701716,144.9265503,1
4868,-13964,-3896,-934,144.1430652,132.470875,1
4900,-14000,-3944,-1336,143.0830854,129.9094982,1
4932,-14076,-4076,-1567,147.0517635,127.48036,1
4965,-14076,-3940,-2137,142.8360161,125.551372,1
4998,-13932,-4184,-1936,141.058943,118.2062633,1
5032,-14716,-4572,-1539,122.5016709,124.9223458,1
5065,-16272,-4664,-5156,122.9834845,124.7797045,1
5100,-22940,-7628,-6374,130.9936255,113.8717906,1
5132,-26720,-10928,-1703,128.5850727,113.8665558,1
5164,-29084,-8344,2278,130.7565356,111.8457527,1
5197,-25668,-6972,-2141,129.9960185,110.047972,1
5232,-24464,-7808,-1539,139.2419427,102.1380352,1
5265,-21148,-7708,-616,136.9724871,101.6638183,1
5300,-18484,-7500,364,139.0633934,97.03405602,1
5333,-16184,-6496,-872,134.9030321,96.5995389,1
5365,-13832,-5180,999,136.0532585,95.52932993,1
5399,-14168,-3616,2903,135.4712761,94.82802865,1
5433,-9560,-3136,3356,135.486205,93.90296546,1
5465,-6100,-2224,1388,135.7384081,93.42698836,1
5499,-4364,-1312,2806,135.9395313,93.02212231,1
5534,-2960,296,5073,136.113854,92.73325299,1
5565,312,1664,5643,136.2573964,92.56332395,1
5598,244,320,4172,136.2939186,92.5177458,1
5633,600,-652,5504,136.2894927,92.53550226,1
5666,3900,-832,4381,136.3144805,92.56469489,1
5699,5308,200,1964,136.3926658,92.65115834,1
5733,6492,-96,1654,136.6854847,92.89305432,1
5766,7800,-280,-422,137.0735543,93.44784716,1
5799,7112,-776,3110,137.3388256,94.10474148,1
5831,4724,-824,-813,137.1569561,95.06676077,1
5864,5756,-572,325,138.5036234,96.08859766,1
5897,4080,-748,-2029,136.2828299,97.48415823,1
5933,4716,-1572,-423,135.4072568,98.91112642,1
5966,1688,-772,-862,134.6682412,100.8324668,1
6000,3324,-1436,-392,136.137432,101.9182249,1
6033,1920,-392,-951,137.1157751,103.4094663,1
6065,4496,-1596,941,134.9248831,104.2173777,1
6099,5660,-56,-4683,135.2290802,108.7593261,1
6133,7916,-1060,-8077,132.0151336,109.4894799,1
6167,4540,-884,-6436,127.2235179,113.2777444,1
6200,3484,-1436,-3840,127.8855936,113.8625816,1
6232,1484,-2104,-263,124.4922102,118.7155918,1
6265,-4444,-2504,3815,121.3231176,128.5205008,1
6299,-6516,-2108,868,122.0118262,129.7292582,1
6332,-7652,-2900,2247,125.728936,131.1837021,1
6366,-17024,-1792,-4503,145.7669547,122.4150784,1
6400,-17576,-3868,-2996,124.8025541,139.3300887,1
6434,-21716,-6172,-5913,135.1924388,128.2386375,1
6467,-29880,-7444,-2395,122.1749767,145.1217481,1
6499,-28080,-5712,162,136.4726638,135.8391909,1
6533,-30568,-5448,2939,132.3348955,150.641797,1
6565,-24908,-3168,-1977,138.8629855,140.1254936,1
6598,-29260,-17568,808,141.0786357,139.7551899,1
6635,-18328,-2964,3201,136.9910152,150.5704751,1
6665,-8768,704,-1241,141.9649139,144.8978866,1
6698,-9776,-2544,-3663,142.8033391,145.6306068,1
6732,-16212,-6780,-857,129.6295843,158.6158304,1
6765,-16912,-4912,6109,140.6582239,158.3931048,1
6798,-13500,-1336,2414,145.6495818,158.3643926,1
6832,-13436,-1844,-1808,145.8541691,158.0529298,1
