Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
5527,-12060,3572,-1202,163.435452445435,123.46438852852,13.0476248508531,0
5559,-13900,3696,929,163.224469335058,123.486544466261,12.8567733612697,0
5594,-14380,3444,2216,162.98832243451,123.549627756611,12.7340607114324,0
5629,-13120,4008,597,162.65807784715,123.647177558298,12.4351545975054,0
5659,-12656,4316,-1830,162.372023359518,123.665767705887,12.2791348674819,0
5693,-13652,4692,-1812,162.072686747516,123.657367080255,12.1302739317621,0
5727,-13968,4416,37,162.299506292201,123.655261543825,11.9216900828916,0
5760,-13488,4316,-1087,161.926163912676,123.687801084864,11.7414797329561,0
5793,-13252,4100,-77,161.582271830365,123.52321827546,11.4558551839339,0
5829,-12796,3888,737,161.49416376266,123.31094911662,11.44616023469,0
5861,-13136,4024,2605,162.770055309579,119.693188039211,11.9218080660713,0
5893,-13508,4268,3108,162.569034681703,119.963127538573,11.9024504128885,0
5927,-13252,4344,2143,162.399446906758,120.051401074968,11.7991161349528,0
5959,-10884,4560,388,162.704049196297,118.080880532282,11.8657309527689,0
5994,-9908,4168,-2421,162.954354188389,117.117043501907,11.9455718335863,0
6029,-12148,4504,98,163.008588976033,116.556437807907,11.9623744425474,0
6062,-14008,4116,4972,163.067820741807,115.985249292923,11.9949376447375,0
6095,-14304,5732,6966,162.391963081293,117.827330285366,11.9906400020806,0
6127,-13024,6912,9692,161.498469706281,119.079629202174,11.8694939297615,0
6159,-9724,7564,3311,161.415969081846,119.492050865376,11.955197379702,0
6196,-10192,7580,-4039,161.779276884013,117.352978302012,11.9388571771008,0
6228,-11564,7284,-2121,161.991400274547,116.40909088786,11.9821412258322,1
6261,-11696,7104,1649,161.552404958287,118.049889097582,12.0020087240517,1
6295,-12244,7132,1635,161.82372978033,116.646569532633,12.0212123702141,1
6328,-13344,7872,1129,162.077919350491,115.930716518798,12.0558981389448,1
6359,-12464,7444,-272,161.828017575214,115.354538621601,12.0467664689063,1
6394,-11348,7064,-1890,161.925715407192,115.03148834075,12.0653108906931,1
6427,-11504,7228,-1340,161.947782922026,114.854813975258,12.0925037677603,1
6461,-10812,7220,124,161.747711222116,114.686261289924,12.0918390984096,1
6497,-10456,7448,-646,161.788353991948,114.586112519079,12.1299883320317,1
6527,-10564,7172,-2142,161.835818869344,114.47022959848,12.1773213171609,1
6560,-11032,7104,-2832,160.576094836206,117.453913417088,11.8833776882383,1
6594,-11424,7204,-3951,160.889230754404,116.382064662158,12.0184122479026,1
6628,-11928,6812,-4096,160.996245238329,115.813994981788,12.1165709128865,1
6659,-12224,6672,-4273,160.978810529179,115.343622427053,12.1840279042629,1
6696,-12940,6680,-2353,159.613582358986,117.323448908,12.1018779129154,1
6729,-12988,6568,-2000,159.931115128981,116.296174742087,12.2516821742586,1
6760,-13188,6416,-2246,159.62704448592,117.437382991882,12.3111759688126,1
6795,-13040,6364,-1939,160.0957781685,116.342979446858,12.5083926330456,1
6827,-12792,6156,-2912,160.320535565796,115.642320460049,12.5975801517966,1
6860,-13208,6032,-2988,159.722318128136,117.390667764228,12.634206645437,1
6896,-12952,5740,-2527,160.043214715191,116.36073443216,12.696307954864,1
6930,-13116,6184,-1495,159.253936699537,117.818378429797,12.602523359138,1
6960,-12548,6344,-1307,160.044533701158,116.297831036264,12.7114333657149,1
6997,-12328,6208,-1951,159.831429486816,117.200437566508,12.7931956762486,1
7028,-12360,6024,-1885,160.388727990109,115.890478055977,12.8029899878999,1
7060,-12040,5580,-1527,160.743495735021,115.279995110887,12.8096993278237,1
7093,-12124,5740,-2587,161.084560398136,114.84633934753,12.8215475247762,1
7131,-12584,5392,-3884,161.33820977817,114.514603490204,12.8008698296174,1
7163,-13452,5552,-2819,162.087465463051,116.423750454724,12.9302988334413,1
7196,-12764,5288,-2115,161.543815677344,115.435549581958,12.8034927261481,1
7229,-13492,6040,-1637,161.285789800911,114.604995879959,12.5909422698267,1
7262,-13488,6080,37,161.222836621463,114.047262930677,12.5542478645337,1
7295,-12876,6024,-957,161.768471284186,113.687782707322,12.5687249489,1
7329,-13196,5780,-1158,161.056497694323,113.412156194921,12.5648690169485,1
7362,-13460,5372,-713,161.114581930187,113.226531710992,12.5342656087896,1
7399,-12800,5232,469,161.161449503459,112.993563947666,12.5216212100393,1
7430,-12276,5364,-76,160.944525709893,112.910918167563,12.5209015417094,1
7462,-12224,5480,-410,160.867444878121,112.904614584996,12.4441653229229,1
7497,-12304,5600,-469,161.475910779494,112.915718270298,12.4295399385196,1
7530,-12468,6020,118,160.757948166463,112.872240835706,12.4187389818703,1
7564,-12520,6124,903,160.542341696761,112.869866972604,12.2679421113447,1
7598,-12120,6536,172,160.743204671421,112.860568271681,12.3156097346278,1
7630,-12260,7008,-447,160.660345017556,112.818274923712,12.3331636600558,1
7663,-12332,7276,357,160.656991626095,112.787186213777,12.3563797181499,1
7696,-10888,7104,-583,160.641031045768,112.704919831586,12.3374002548645,1
7729,-11036,7108,-2426,161.799261389772,112.641018552569,12.3709988454662,1
7764,-10968,6524,-1965,163.378315360767,112.590184929812,12.3716255372715,1
7799,-11420,6200,-1892,160.461802424572,112.495664727314,12.4209084017279,1
7831,-12492,6380,-1367,160.959510323977,112.443500530893,12.432260932949,1
7862,-12760,6312,-1709,162.420797366984,112.305663095496,12.5163358281359,1
7894,-12736,6612,-2342,163.343109579228,112.235242389339,12.5182898380536,1
7930,-12324,6612,-2699,161.015934614425,112.198852651361,12.4975484027787,1
7960,-12176,6920,-2438,160.500173206252,112.096098588113,12.5179498673377,1
7997,-12220,6960,-2192,160.683353849713,112.038082430557,12.6474037893546,1
8032,-12484,6736,-1750,161.152395529441,111.848363929776,12.9353418564527,1
8063,-12492,6636,-1401,160.983696915433,111.778968238662,12.9625982698867,1
8095,-13160,6432,-690,160.94361442375,111.700216526021,12.9837440256755,1
8130,-13232,6440,-1012,160.904649446453,111.596186529698,12.9737002308603,1
8161,-13036,5896,-1703,160.718063063579,111.501923624862,12.9675745445701,1
8195,-12464,5624,-1741,159.690776078772,116.216338719345,13.1171408541584,1
8230,-11996,5720,-1223,159.620355407458,117.488096830328,13.2302985504642,1
8260,-11452,6168,-1045,156.200247150213,118.301160324709,13.2091941163501,1
8295,-11760,6372,-722,158.957429386045,118.323598317853,13.1992450647471,1
8329,-12356,6264,-560,157.506940527875,118.447980776763,13.2076332585049,1
8361,-13048,6416,-364,157.446585179519,118.459949373935,13.2390929515895,1
8394,-13420,6808,9,157.91233634361,115.517592124914,13.1867021066434,1
8431,-13172,7044,-770,157.738749961936,116.401793464197,13.2307905025055,1
8462,-12236,6348,-3134,157.831038284383,116.811249977394,13.3174257624125,1
8494,-12856,6096,-2475,157.622850121228,117.113808178585,13.3665999268343,1
8528,-13112,6332,288,159.224156349037,117.408314896048,13.4996880105355,1
8560,-12308,6632,139,158.259872596548,117.664413856959,13.6098078500073,1
8594,-12072,6684,-651,159.030702422806,117.815163996099,13.6242853138982,1
8629,-11612,6624,-485,158.584817332825,117.710674290112,13.2522395657657,1
8662,-11404,6484,64,156.135581543776,117.833858249288,13.2674365812367,1
8695,-11388,6592,373,158.996449440278,114.568423657004,13.2586873810724,1
8728,-11944,6608,313,157.578060395023,114.416313963451,12.9513354539794,1
8761,-11732,6808,321,157.291081824705,114.337259205926,12.8420667277431,1
8794,-11160,6720,-961,158.296733138352,115.646147448671,12.8344308364799,1
8828,-11176,6852,-537,156.739427497888,115.506111737547,12.7678947557363,1
8861,-11352,6732,-398,156.982393987061,115.368824751532,12.8476395538827,1
8895,-11604,6752,-990,159.472021817309,116.072398407875,12.8006298708255,1
8927,-11816,6616,-1150,159.301009084462,116.479402297503,12.7892885146683,1
8960,-12064,6352,-1229,159.141416451368,116.673602196399,12.7427009501147,1
8993,-11912,6656,-902,157.559635525466,116.167366809662,12.7434812330132,1
9027,-12040,6912,-459,159.751403819874,115.716184822093,13.1751927418994,1
9060,-11808,7524,166,156.972910862173,115.485905808217,13.1898983197297,1
9094,-11516,7788,-197,156.711384133043,115.265888165086,13.0942077552192,1
9128,-11548,7600,-1082,159.489515479928,115.108387584389,13.2830730816417,1
9160,-11456,7316,-386,158.775324718208,114.998325388204,13.323188144107,1
9194,-11448,7016,-729,159.471786719283,114.932929973222,13.4306651650485,1
9227,-11496,6832,-624,159.904969620432,114.921658525103,13.5965327933651,1
9260,-11236,6868,-653,159.492825778393,114.864078575119,13.6092405325701,1
9297,-11208,6828,-941,160.010457448827,114.814706586387,13.6079937860378,1
9329,-11412,6944,-725,162.709136242584,114.773425393017,13.61277607752,1
9394,-10696,-2568,-1047,160.822345406588,114.679318268045,13.6332643571773,1
9427,-10660,-2532,-1174,160.587349961112,114.594916529411,13.4360981422183,1
9460,-11036,-2376,-1006,160.460848691586,114.501463109605,13.1853342062899,1
9495,-10604,-2632,-1379,160.127554038548,114.447729289298,13.1760446113264,1
9528,-10048,-2580,-1506,157.974447545968,114.429608796116,13.2222395256099,1
9560,-9556,-2016,-1925,157.94599952188,114.40561475008,13.1866863294841,1
9593,-9848,-2880,-1374,159.275424014013,114.36014331744,13.1939453070337,1
9627,-10528,-3076,-1794,157.826895785175,114.271045604315,13.1073170180251,1
9660,-10844,-3164,-1531,157.79749398578,114.229388928252,13.1571589037614,1
9694,-12036,-2660,-717,157.933006280705,114.198150484694,13.2447903493035,1
9729,-12208,-2764,-959,157.992043435152,114.257936261419,13.2564993737816,1
9760,-13956,-2764,-552,157.73816069262,114.249172029215,13.194952681505,1
9794,-14168,-2616,-444,157.441664440572,114.231297656686,13.1539979827042,1
9827,-14736,-2520,32,160.211676266126,114.279373012053,13.3801387160735,1
9860,-14200,-2852,-442,154.949753449555,114.330931960924,13.6248045429777,1
9894,-14120,-2812,-1597,155.595168931793,114.504324399534,14.0441903109876,1
9929,-13160,-3036,-282,155.864209516526,114.842367875827,15.1978552035368,1
9962,-13096,-2860,373,156.614990836461,115.472968903698,16.4813484205731,1
9993,-12932,-2844,-584,157.721056929245,116.484331839862,18.3204505556992,1
10028,-13652,-2860,-150,155.93334763381,116.88621684312,19.5454387705725,1
10060,-14512,-3148,-1036,159.575343230176,118.324767638108,24.0249406340157,1
10093,-15692,-3236,692,159.338954190994,119.999385762546,28.5986812563801,1
10129,-16124,-3064,179,159.131002795666,121.38137293243,31.9555212658262,1
10161,-17132,-2396,1294,156.146011361467,121.889427019167,35.2545839889884,1
10194,-16292,-2080,1257,164.684986969552,121.876434595181,49.3065599891583,1
10228,-18096,-1636,158,163.147192345039,121.556575247294,46.4109885092357,1
10260,-15376,-1496,-1435,166.379592388447,120.515722176986,53.7555022645548,1
10294,-16392,-1432,-612,160.477824592814,120.974488131345,52.9142479739554,1
10328,-14476,-1892,-2341,164.108750108935,121.6906270726,57.6513788513571,1
10363,-13988,-1984,1021,159.708060978242,121.593971726773,61.4169304871802,1
10394,-13284,-1460,872,155.061630436512,121.77601363933,60.8051790288202,1
10427,-14272,-1140,996,156.049357170839,122.742542811265,64.3295173159509,1
10461,-14116,-916,-623,160.361626217104,118.003263964851,73.8780539021379,1
10494,-15408,-948,157,155.452564801897,117.036845846627,74.6138491312075,1
10527,-15144,-928,723,154.07765340606,117.606077277974,75.8230023984904,1
10562,-15256,-1396,38,153.27808040496,118.58226776481,79.0610840260233,1
10597,-15068,-1388,-226,152.58883303335,119.790567106786,82.9733423988065,1
10628,-14964,-1524,350,153.298528079978,121.011048986311,87.7368866051977,1
10661,-14224,-736,-498,151.965455856293,121.484337551352,90.9576641731064,1
10694,-13140,-980,-1628,153.984316188595,238.295875781548,94.5230059529203,1
10727,-13016,-332,288,152.35680420772,237.852017338987,97.8439130550884,1
10761,-11660,-40,297,152.733241940406,237.290889176717,100.325933376202,1
10797,-11848,32,1830,152.597570158944,236.939295005372,104.732873049884,1
10830,-10300,136,-289,155.479289912236,236.544678028936,110.392775452332,1
10861,-9956,76,430,154.733045901727,236.232322350823,112.683981450452,1
10894,-7576,-744,-394,154.55324323949,235.807144840809,115.512071946402,1
10927,-8612,-244,1846,154.4580616737,235.21477109289,118.201237228984,1
10961,-6704,-128,405,154.783887961387,234.823725902237,120.385673408754,1
10995,-7244,-876,1702,154.456317716219,233.992292946148,123.192300929842,1
11034,-5044,-836,4138,154.532875040389,233.733113769808,125.110069544301,1
11061,-5556,-184,2952,154.48697850107,233.392077913054,126.952806561728,1
11094,-4456,584,1825,154.146443583463,233.120560623431,128.658300972256,1
11128,-4256,968,-181,153.724137037714,232.78452110699,130.587996909413,1
11162,-3112,1484,-3536,153.502238937409,232.476444008602,132.570478335352,1
11195,-3440,1904,-1303,151.591645494909,229.58552763674,130.093858406525,1
11231,-1072,1708,-2429,151.738699725615,229.790648920047,132.660706396312,1
11262,-1140,1668,-1109,151.310562201399,229.626842741165,134.483508143887,1
11295,-176,1508,-2407,148.575476175982,228.511533356008,132.603916778381,1
11328,-368,1600,-1618,148.571584828937,228.538558901238,133.656765067408,1
11362,108,1600,-633,147.512493330119,228.262539478223,133.713049741628,1
11395,-1148,2000,-1262,146.626770317138,228.035484906738,133.784635080436,1
11428,-604,1972,103,146.360185929115,228.084328616333,135.13894003557,1
11468,-2144,2444,-1442,146.148538412919,227.650190021108,135.087108449828,1
