Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
6333,13500;-7708;1232,-2364;710;1824,-0.1029575;0.09559567;1.680226,-0.2600566;-0.3481002;1.153201,-0.2902625;-0.355524;1.208581,-0.3020216;-0.3159331;1.472636,-0.234671;-0.1801653;1.666414,-0.06340608;-0.1095403;1.692377,-0.01045897;-0.5182905;1.609608,2
6366,12904;-6624;816,-3660;1489;3030,-0.1029492;0.09561047;1.680182,-0.2589;-0.3539212;1.154445,-0.2893327;-0.3550003;1.209042,-0.3016629;-0.3157966;1.47313,-0.2342694;-0.1800513;1.666733,-0.06331416;-0.1094881;1.692315,-0.01036385;-0.5182532;1.609539,2
6400,12596;-7256;604,-6034;2229;4704,-0.1028791;0.09563772;1.680053,-0.258328;-0.3598137;1.157388,-0.2769353;-0.3495883;1.208982,-0.3014386;-0.3157731;1.472991,-0.2339718;-0.1799581;1.666885,-0.06327839;-0.1094816;1.692275,-0.01029494;-0.5182461;1.609486,2
6433,11948;-8052;116,-3260;1911;6399,-0.1028111;0.09568577;1.680061,-0.2579244;-0.3704252;1.158902,-0.2676096;-0.3529627;1.270052,-0.2915647;-0.3201383;1.534219,-0.2349962;-0.1800395;1.665838,-0.06323726;-0.1094525;1.692266,-0.01026345;-0.5182034;1.609443,2
6468,10124;-8416;180,-4280;3040;8137,-0.102738;0.09571352;1.679942,-0.2561349;-0.3789213;1.162059,-0.2659558;-0.3592528;1.259316,-0.2840798;-0.3440605;1.457763,-0.2344706;-0.1799036;1.666347,-0.06319947;-0.1094518;1.692265,-0.01028357;-0.5182;1.609471,2
6499,9788;-10472;204,-3128;2727;9144,-0.1025916;0.09570093;1.679583,-0.2542229;-0.3892554;1.163934,-0.2667194;-0.368621;1.256707,-0.2842384;-0.3447879;1.456521,-0.2354007;-0.1798873;1.664687,-0.06301899;-0.1094837;1.692038,-0.01022049;-0.5182167;1.609362,2
6587,8052;-10060;-384,-3066;3266;10992,-0.1024775;0.09571021;1.679435,-0.2468851;-0.4282615;1.154366,-0.2467493;-0.426965;1.204468,-0.2830738;-0.3473045;1.456827,-0.236187;-0.1800237;1.663479,-0.06285536;-0.1095248;1.691814,-0.01001696;-0.5183908;1.609076,2
6612,6080;-12600;-320,-2286;3921;12070,-0.1024122;0.09574873;1.679327,-0.2433659;-0.4395089;1.159112,-0.2451829;-0.4272202;1.204731,-0.2825992;-0.3484168;1.457203,-0.2364198;-0.1800956;1.663141,-0.06279149;-0.1095294;1.691695,-0.01001974;-0.5184172;1.60908,2
6634,4772;-13340;-104,-2233;4857;12018,-0.1023722;0.09568626;1.679188,-0.2418781;-0.4372748;1.181897,-0.2551612;-0.4140492;1.256254,-0.2820189;-0.3493557;1.457702,-0.2364815;-0.1801902;1.663068,-0.06277529;-0.1095476;1.691702,-0.01000957;-0.5184563;1.609063,2
6668,2360;-14728;652,-2031;5562;11926,-0.1023928;0.09568875;1.679215,-0.2393419;-0.4464762;1.186431,-0.2546496;-0.4162488;1.259164,-0.2804637;-0.3531981;1.4601,-0.2367167;-0.1805591;1.662837,-0.06274729;-0.1095577;1.691688,-0.009983511;-0.5184997;1.609048,2
