Time_Stamp,Accel,Gyro,Head,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
1965,4948;-15976;-5140,-26;-4963;-2943,0.02560768;0.4529622;1.270311,-0.1424612;0.6843235;0.9516078,-0.1479611;0.6211977;1.003433,-0.1657214;0.4514;1.155084,-0.1107881;0.2568044;1.299316,0.02072818;0.2332076;1.302349,0.02645684;-0.2042727;1.284111,0
2004,4600;-16320;-4928,-227;-2973;-2859,0.02603162;0.4562891;1.275066,-0.1241193;0.6944582;1.062737,-0.1350613;0.6307942;1.080515,-0.1692439;0.4431185;1.14287,-0.1106338;0.255739;1.29841,0.02090547;0.2334128;1.302748,0.02653577;-0.2044954;1.284227,0
2035,5016;-16204;-4720,1387;-1330;-1145,0.02581228;0.4574355;1.276307,-0.1638994;0.6092666;0.876057,-0.1655148;0.5604878;0.9417075,-0.172484;0.430336;1.131964,-0.1104772;0.2552311;1.297762,0.02129398;0.2335408;1.303068,0.02662441;-0.2046825;1.284048,0
2068,4864;-15800;-5140,1109;45;-1881,0.02605407;0.4579695;1.276731,-0.1745418;0.5508847;0.9998969,-0.1787487;0.5643651;0.9783267,-0.1751095;0.420026;1.123966,-0.1104697;0.2536765;1.296253,0.02136653;0.2335909;1.303185,0.02670538;-0.2051841;1.28394,0
2099,4828;-15904;-4444,1507;426;-1133,0.02598605;0.4587665;1.277297,-0.1875905;0.5684249;0.843737,-0.1844558;0.5245308;0.9126635,-0.1782389;0.4075336;1.112014,-0.1101774;0.2514533;1.294407,0.02140632;0.2338949;1.303574,0.02693024;-0.2061328;1.283525,0
2135,5136;-15660;-4424,1435;1401;-720,0.02637734;0.4591452;1.278266,-0.1870471;0.5769939;0.8487784,-0.1847161;0.5287437;0.9148401,-0.1810073;0.3997458;1.105591,-0.1101446;0.2503818;1.29371,0.02131325;0.2340134;1.304027,0.0271618;-0.206818;1.283862,0
2165,4684;-15492;-4636,-1250;3117;-448,0.02655908;0.4594322;1.278399,-0.1944983;0.510451;0.9293971,-0.1835151;0.5091485;0.9278079,-0.1847081;0.3857537;1.093064,-0.1099006;0.2489079;1.292746,0.02124829;0.2342628;1.304611,0.02742351;-0.2073118;1.283871,0
2200,4704;-16520;-5208,-2372;4756;1180,0.02668443;0.4598096;1.278352,-0.202449;0.4917001;0.9225394,-0.1901605;0.4878516;0.9143146,-0.1876873;0.3695848;1.083562,-0.1094869;0.2470447;1.291438,0.02127452;0.234254;1.304545,0.0275689;-0.2081482;1.2835,0
2236,5048;-15908;-6420,2402;10040;2139,0.02604248;0.4617182;1.280625,-0.2116084;0.4732175;0.9099258,-0.1950102;0.4768026;0.9150234,-0.1899515;0.3547328;1.081418,-0.109422;0.2456979;1.291129,0.02144149;0.2342976;1.304533,0.02758518;-0.2084668;1.283719,0
2266,4760;-16104;-6332,-953;8629;3673,0.02451061;0.4643657;1.284482,-0.2193068;0.4481829;0.8950405,-0.2015725;0.4311894;0.8932888,-0.1943783;0.3363458;1.077365,-0.1093971;0.2446789;1.291115,0.02194852;0.234326;1.304752,0.02733098;-0.2092856;1.284238,0
2300,4232;-15648;-5412,3391;12460;5778,0.02409161;0.4646226;1.284889,-0.2176533;0.4224958;0.8571801,-0.2043271;0.4074852;0.8846267,-0.1980009;0.3162546;1.070714,-0.1096931;0.2441929;1.290945,0.02230116;0.2343589;1.304703,0.02728349;-0.2099325;1.284272,0
2333,2940;-15912;-3672,4757;14074;6808,0.02382107;0.464595;1.285241,-0.2200927;0.3938598;0.8214865,-0.2103328;0.376747;0.8692269,-0.1994617;0.2979983;1.060976,-0.1095561;0.2432533;1.290004,0.02260105;0.2343301;1.304655,0.02734205;-0.2105735;1.284226,0
2366,2640;-16784;-2536,5747;9472;5246,0.02332044;0.464114;1.285251,-0.2234882;0.3628501;0.7825445,-0.2167679;0.3320267;0.856007,-0.198634;0.2768628;1.055562,-0.1093807;0.2427037;1.289179,0.02265207;0.234314;1.304559,0.02743232;-0.2123606;1.283162,0
2402,2240;-15740;-1736,3277;5280;1793,0.02297536;0.4638245;1.285761,-0.2263038;0.3295938;0.7551803,-0.2199646;0.3061159;0.8435951,-0.1992013;0.2596028;1.045174,-0.1096224;0.2421041;1.288999,0.02261818;0.2343042;1.304608,0.02773838;-0.2147384;1.282909,0
2435,1856;-16760;-1760,-154;3482;624,0.02230489;0.4637661;1.286846,-0.2265334;0.2918576;0.7429737,-0.2190676;0.275778;0.8363598,-0.2011884;0.235916;1.039706,-0.1100987;0.2404331;1.288162,0.02257875;0.2343222;1.304597,0.02783622;-0.2152929;1.282774,0
2465,1760;-16972;-1912,1062;2278;658,0.02172805;0.4636435;1.287762,-0.2269741;0.2503809;0.7297915,-0.2192087;0.2326744;0.822578,-0.201625;0.2153331;1.035707,-0.1107449;0.2392191;1.287829,0.02256764;0.2343267;1.304607,0.02775868;-0.2158977;1.282736,0
2502,2100;-16452;-2732,1719;1987;1183,0.02116633;0.4636124;1.289553,-0.2272346;0.2087981;0.7304028,-0.2190564;0.2084368;0.8100814,-0.1996655;0.198276;1.032744,-0.1120728;0.2340241;1.287306,0.02256917;0.2343248;1.304605,0.02779351;-0.2168826;1.282676,0
2533,2160;-16856;-2632,1204;2830;1324,0.02085795;0.4631258;1.289912,-0.2267821;0.1680196;0.7336034,-0.2185549;0.1632251;0.8271092,-0.1975552;0.1824484;1.033248,-0.1138504;0.2214191;1.283721,0.02256401;0.2343259;1.304641,0.02748217;-0.2185983;1.28249,0
2566,2116;-16844;-2224,2245;1134;-341,0.02065015;0.4627218;1.290658,-0.2271721;0.128096;0.735182,-0.2171301;0.1454435;0.8307446,-0.1975957;0.1634885;1.037134,-0.1147867;0.2187498;1.283474,0.02256371;0.2343253;1.304641,0.02744192;-0.2192545;1.282687,0
2600,1940;-16480;-1824,815;-342;-1510,0.009012987;0.4694709;1.305673,-0.2268191;0.090945;0.7347389,-0.2153222;0.1113201;0.8336692,-0.1961112;0.1430901;1.045186,-0.1154018;0.2179566;1.283427,0.02257076;0.2342349;1.30452,0.02734409;-0.2206225;1.282366,0
2635,2016;-16652;-2356,997;-626;-1321,0.007965949;0.4699906;1.306404,-0.2244889;0.05542915;0.741387,-0.2189106;0.05301905;0.8360546,-0.1931407;0.1258573;1.059025,-0.1160581;0.2182321;1.282941,0.02253618;0.2341176;1.304189,0.02725063;-0.2210009;1.28211,0
2668,2088;-16412;-2444,1039;-408;-1070,0.01404044;0.4643152;1.295055,-0.2217887;0.02172104;0.7439839,-0.2070008;0.04753653;0.856469,-0.1938786;0.1170337;1.061201,-0.1166438;0.2184604;1.2824,0.02249676;0.2338381;1.303495,0.027323;-0.2216597;1.281367,0
2699,2108;-16324;-2516,1169;-78;-656,0.009741204;0.4675665;1.299539,-0.227797;-0.03268974;0.715614,-0.2159472;-0.005820218;0.805658,-0.1926296;0.09907646;1.062428,-0.1174672;0.2178145;1.280984,0.02245476;0.2337121;1.303224,0.0271316;-0.2230118;1.28087,0
2734,1984;-16444;-2548,803;451;-663,0.007776008;0.469931;1.30283,-0.2164383;-0.03809115;0.7615442,-0.2130446;-0.00896926;0.8162341,-0.193187;0.0916726;1.074951,-0.1182164;0.217085;1.280728,0.02240383;0.2336019;1.302985,0.02697598;-0.2242545;1.28041,0
2765,2080;-16588;-2576,777;106;-905,0.006570423;0.4727065;1.305379,-0.212795;-0.06149811;0.7714576,-0.2150472;-0.03557374;0.8412235,-0.1904288;0.07560091;1.047952,-0.119068;0.2162522;1.280419,0.02235867;0.2335725;1.302955,0.02694489;-0.2253425;1.280089,0
2799,2040;-16732;-2432,864;-182;-941,0.006590045;0.4722842;1.30524,-0.2077902;-0.0846753;0.780252,-0.2099958;-0.04931389;0.8466794,-0.1903719;0.07182001;1.048272,-0.1207128;0.2138595;1.279663,0.02228631;0.2335613;1.302897,0.02701105;-0.2264287;1.279693,0
2834,1868;-16552;-2300,1139;-63;-431,0.005851466;0.4729091;1.305894,-0.2036831;-0.1065719;0.7948532,-0.2017425;-0.07104941;0.8952453,-0.1908591;0.06134539;1.054964,-0.1217411;0.2125656;1.279499,0.02217988;0.2334906;1.302781,0.02680115;-0.2273513;1.279559,0
2867,1884;-16828;-2568,926;-404;-869,0.004779525;0.4744177;1.307426,-0.2001111;-0.1264864;0.8077712,-0.197403;-0.04640383;0.9093008,-0.1951069;0.03086162;1.102429,-0.122553;0.2108804;1.278081,0.02209704;0.2334228;1.302715,0.02649933;-0.2282862;1.279564,0
2900,1944;-16608;-2624,875;-893;-1257,0.003872915;0.4753225;1.309044,-0.1947845;-0.1450492;0.8255708,-0.1939427;-0.1255248;0.8677402,-0.1921512;0.03122889;1.097844,-0.1231104;0.2115327;1.279694,0.02202192;0.2333873;1.302758,0.02623932;-0.2287698;1.279682,0
2935,2060;-16676;-2516,1288;-357;-891,0.002411733;0.4768707;1.31153,-0.1904062;-0.1569661;0.8515263,-0.190033;-0.1292867;0.882603,-0.192478;0.01753192;1.119099,-0.1234769;0.2116871;1.280832,0.02196929;0.2333443;1.302814,0.02598133;-0.2294696;1.28021,0
2967,1928;-16720;-2652,1171;-287;-1026,0.001363838;0.4776245;1.312579,-0.18431;-0.1805313;0.8561651,-0.1841086;-0.1548133;0.8836921,-0.1875255;0.01152862;1.106902,-0.1239666;0.2093673;1.280056,0.02192325;0.2331929;1.302719,0.02557627;-0.2303464;1.279878,0
3000,2012;-16652;-2412,1237;-120;-934,0.0007923855;0.4781598;1.313089,-0.1788556;-0.1956685;0.8740293,-0.1806566;-0.1686261;0.8956732,-0.1835167;-0.008634335;1.123437,-0.1270152;0.2023007;1.277384,0.02186378;0.2330283;1.302628,0.02494636;-0.2314077;1.27956,0
3034,1892;-16508;-2540,921;-251;-1197,9.589588E-05;0.4783928;1.313666,-0.1737082;-0.21512;0.8875366,-0.1789268;-0.1502683;0.967874,-0.1804856;-0.01880696;1.128388,-0.1281708;0.1998514;1.276549,0.02182979;0.2328909;1.30256,0.02466003;-0.2320847;1.279505,0
