Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
3032,14728;3336;-2028,1659;-4071;-7161,-0.1731639;0.1376206;1.294572,-0.1796097;-0.08053549;1.332434,-0.01475248;-0.09914039;1.359609,0.06329879;-0.3305881;1.27005,0.1139508;-0.2779336;1.080369,0.1279392;-0.2319103;1.015049,-0.1595703;-0.5446242;1.392808,1
3066,15096;4624;-2184,1256;-3977;-7696,-0.1736417;0.1377636;1.295206,-0.1799734;-0.08035958;1.333036,-0.01489941;-0.09881116;1.360293,0.06327356;-0.3300034;1.270078,0.114314;-0.2746423;1.081631,0.12751;-0.230154;1.016948,-0.1596251;-0.5445611;1.393064,1
3102,14404;5492;-1764,1140;-4329;-8023,-0.1737939;0.1377622;1.295232,-0.180051;-0.08031428;1.333064,-0.01494954;-0.09872041;1.360337,0.06326157;-0.3297533;1.269677,0.1141427;-0.2736639;1.082155,0.1268;-0.2285939;1.015059,-0.1596497;-0.5445321;1.393076,1
3133,14556;6024;-2292,2690;-4743;-8613,-0.1742608;0.137914;1.2956,-0.1802401;-0.08022244;1.333244,-0.01507639;-0.0985292;1.360683,0.06329226;-0.3294077;1.269716,0.1142766;-0.2719101;1.082287,0.1283317;-0.2291615;1.015552,-0.1596969;-0.5445161;1.393128,1
3166,13800;6288;-3452,2280;-5131;-9038,-0.1744876;0.1379324;1.295672,-0.1803271;-0.08014818;1.333317,-0.0151838;-0.09841779;1.360851,0.06377418;-0.328761;1.268885,0.1142877;-0.2717493;1.082348,0.1283187;-0.2317606;1.015673,-0.1597356;-0.5444888;1.393176,1
3199,12804;6772;-4340,2157;-4848;-10259,-0.1747048;0.1379015;1.295537,-0.180377;-0.08013538;1.333254,-0.01523389;-0.0983317;1.360824,0.06337034;-0.3287142;1.268617,0.1142785;-0.2714499;1.081967,0.1287074;-0.2315911;1.014367,-0.1597621;-0.5444783;1.393117,1
3232,12876;8416;-3960,707;-4256;-11276,-0.1749393;0.1378674;1.295409,-0.18048;-0.08005943;1.333168,-0.01533101;-0.09828275;1.360744,0.06306523;-0.3286884;1.268395,0.1141988;-0.271462;1.081989,0.1289492;-0.2349178;1.014819,-0.1597576;-0.5444492;1.393025,1
3266,11860;9624;-3896,2266;-4701;-11783,-0.1751099;0.1378791;1.295369,-0.1805781;-0.08005726;1.333089,-0.01535468;-0.09830864;1.360692,0.06263342;-0.3292068;1.269392,0.1143651;-0.2718654;1.082814,0.1290527;-0.2387698;1.017832,-0.1597973;-0.5444229;1.39286,1
3302,11060;10076;-4644,2691;-5689;-11525,-0.1752599;0.1378322;1.295142,-0.1806726;-0.08005866;1.332953,-0.01543864;-0.09823824;1.360549,0.06327201;-0.3291435;1.269995,0.1144931;-0.2742736;1.082061,0.1286832;-0.2459435;1.016987,-0.1598278;-0.5444565;1.39271,1
3331,10608;10248;-5204,2737;-5949;-12662,-0.1754828;0.1379207;1.29529,-0.1809192;-0.08001625;1.333171,-0.01555796;-0.09820959;1.360832,0.06379978;-0.329496;1.272112,0.1148388;-0.2781498;1.0833,0.1308005;-0.2555195;1.020142,-0.1600583;-0.5444562;1.392938,1
3365,9724;11984;-5036,1519;-5923;-14176,-0.1757158;0.1379758;1.295573,-0.1810479;-0.08000439;1.333431,-0.01568752;-0.09811009;1.361409,0.06399181;-0.3296193;1.273729,0.1153854;-0.2827222;1.084118,0.1319821;-0.2642955;1.021192,-0.1602837;-0.5444939;1.393213,1
3398,8352;14832;-5588,1955;-7026;-13296,-0.1759611;0.1379812;1.296032,-0.1812468;-0.07993744;1.333711,-0.0157733;-0.09812306;1.361858,0.06411139;-0.3299992;1.275571,0.1166617;-0.2912734;1.086551,0.133298;-0.2760047;1.023575,-0.160597;-0.5446119;1.393725,1
3432,7696;15532;-7272,4286;-7621;-12039,-0.1759866;0.1379586;1.295989,-0.1812751;-0.07994824;1.33371,-0.01584917;-0.09832884;1.360862,0.057306;-0.334904;1.283265,0.1170051;-0.2980017;1.08502,0.1327816;-0.2843863;1.018502,-0.1606338;-0.5446084;1.393718,1
3467,6496;15844;-8844,2578;-7008;-10791,-0.1760059;0.1379605;1.295993,-0.1812708;-0.0799543;1.333694,-0.01585829;-0.09831607;1.360869,0.05649816;-0.3353861;1.28422,0.1186174;-0.3034734;1.08101,0.1345728;-0.2934336;1.017008,-0.1606543;-0.5446068;1.393714,1
3499,5940;16644;-8660,727;-6021;-9547,-0.1759914;0.1379469;1.295957,-0.1812981;-0.0799671;1.333668,-0.01589301;-0.09830421;1.360878,0.05625734;-0.3346361;1.281255,0.1208877;-0.3120359;1.076214,0.1369014;-0.3055461;1.015296,-0.160652;-0.5445786;1.393694,1
3534,4664;16464;-9344,2164;-5239;-7541,-0.176002;0.1379353;1.295896,-0.1813271;-0.07998634;1.333582,-0.01589321;-0.09830365;1.36087,0.05621436;-0.3346742;1.28134,0.122555;-0.3195374;1.07382,0.1377656;-0.3170268;1.016781,-0.1607293;-0.5446374;1.393522,1
3566,4680;15860;-9180,2995;-4757;-6129,-0.1760042;0.1379301;1.2959,-0.1813355;-0.07999897;1.33357,-0.01591316;-0.0984133;1.360356,0.05537292;-0.3353256;1.281901,0.1245248;-0.3280575;1.071013,0.1385336;-0.3283435;1.018686,-0.16068;-0.5446389;1.393556,1
3598,4216;15060;-9056,1782;-4147;-5720,-0.1759591;0.137853;1.295742,-0.1813356;-0.07998867;1.333518,-0.01589386;-0.09854463;1.359842,0.05441272;-0.3363572;1.283689,0.1250232;-0.3369052;1.074437,0.1397451;-0.3385556;1.017879,-0.1606697;-0.5445954;1.393552,1
3632,3616;15644;-8876,1904;-3477;-5265,-0.1758534;0.1377261;1.295401,-0.1812814;-0.08005431;1.333108,-0.01582764;-0.09873639;1.359111,0.05364644;-0.3370712;1.284045,0.1254649;-0.3429745;1.074621,0.1392883;-0.3496991;1.019891,-0.1604638;-0.5446203;1.393304,1
3666,2988;15440;-8832,2104;-3058;-4353,-0.1756315;0.1375962;1.294931,-0.1812391;-0.08010343;1.33289,-0.01570487;-0.09893942;1.359121,0.05297048;-0.3376896;1.284802,0.1313418;-0.3588424;1.037056,0.1404193;-0.3585577;1.019399,-0.1603815;-0.5445925;1.393107,1
3699,2952;15656;-8956,1153;-2566;-3958,-0.1755846;0.1375602;1.295044,-0.1812314;-0.08012408;1.332966,-0.01544985;-0.09923308;1.35992,0.05848726;-0.3279776;1.345831,0.1222562;-0.3834655;1.099338,0.1422738;-0.3699602;1.023053,-0.1603041;-0.5445724;1.393244,1
3731,2352;15548;-8936,1427;-2256;-3242,-0.1755027;0.137522;1.295052,-0.1812405;-0.08013263;1.332984,-0.01533758;-0.09949691;1.360347,0.04951632;-0.3413772;1.295153,0.1257311;-0.3815745;1.087644,0.1424445;-0.3771313;1.025642,-0.1603058;-0.5445594;1.39328,1
3767,2476;15484;-9016,1078;-1723;-2869,-0.1754018;0.1374365;1.294984,-0.1812798;-0.08014777;1.333054,-0.01520517;-0.09964812;1.360681,0.04945958;-0.3416864;1.296026,0.1252469;-0.3827696;1.09464,0.1445466;-0.3874731;1.02639,-0.1602734;-0.5445509;1.393342,1
3799,1628;14836;-8904,1487;-1496;-2229,-0.1748738;0.1371234;1.293859,-0.1807947;-0.08028325;1.332198,-0.01500929;-0.09986281;1.360483,0.0496404;-0.3419995;1.296301,0.1251996;-0.385797;1.096794,0.1435772;-0.391121;1.025878,-0.1602029;-0.5444877;1.392622,1
3832,1544;13868;-8836,1199;-1346;-2274,-0.1745903;0.1369844;1.29353,-0.1806968;-0.08037698;1.332072,-0.01497615;-0.1000386;1.35972,0.04968284;-0.3424011;1.296673,0.1261012;-0.3929749;1.101855,0.1450048;-0.4011551;1.031303,-0.1601609;-0.544524;1.392603,1
3866,1408;14260;-8368,1165;-1121;-2382,-0.1743895;0.1369156;1.293329,-0.1805217;-0.08046223;1.331942,-0.01493013;-0.1000837;1.359739,0.04978713;-0.3425114;1.297105,0.1267664;-0.3960765;1.103746,0.1453464;-0.4065749;1.0315,-0.1601445;-0.5445375;1.392599,1
3900,1652;14220;-8368,1549;-1590;-2353,-0.1740398;0.1367601;1.292986,-0.1803628;-0.08056942;1.331726,-0.01483695;-0.1003193;1.359633,0.04989885;-0.3428999;1.297824,0.1272733;-0.4010426;1.105343,0.1454641;-0.4117439;1.033481,-0.1600977;-0.5445706;1.392511,1
3933,1328;14728;-8968,1044;-1361;-2174,-0.1737399;0.1366254;1.292758,-0.1801623;-0.08067193;1.331601,-0.01482967;-0.1003696;1.35908,0.0497222;-0.3432938;1.298825,0.1277661;-0.4047609;1.106507,0.1457031;-0.4176761;1.038628,-0.1600108;-0.544587;1.392432,1
3967,1124;15224;-9140,1509;-1106;-1633,-0.1735089;0.1365977;1.292623,-0.1800682;-0.08075312;1.33146,-0.01469654;-0.1006866;1.359266,0.04942363;-0.3441322;1.301298,0.1277763;-0.4091019;1.110844,0.1452656;-0.4237376;1.043152,-0.1599815;-0.5446131;1.392428,1
3999,1008;14904;-8756,1072;-674;-1190,-0.1733038;0.1366057;1.292574,-0.1800309;-0.08073833;1.331366,-0.01468375;-0.1008384;1.358932,0.04934358;-0.3444856;1.301992,0.1230085;-0.418617;1.128352,0.1461185;-0.4250325;1.044706,-0.1599891;-0.5446043;1.392441,1
4032,1192;14676;-8672,1673;-625;-934,-0.1730598;0.1365252;1.292488,-0.1799797;-0.08074932;1.331356,-0.01449613;-0.1012142;1.359267,0.0489718;-0.3450809;1.3028,0.1224893;-0.420642;1.131245,0.1462076;-0.4304378;1.046229,-0.1599738;-0.5446263;1.39245,1
4066,948;14264;-8724,1144;-446;-779,-0.1727367;0.1364207;1.292478,-0.1799603;-0.0807502;1.331354,-0.01421268;-0.1018263;1.359933,0.04846884;-0.3461249;1.30492,0.1264882;-0.4238468;1.121802,0.1473213;-0.4323389;1.046058,-0.1599475;-0.5446442;1.392511,1
4100,932;14264;-8432,1288;-378;-913,-0.1719778;0.1361662;1.29144,-0.1796676;-0.08080714;1.33076,-0.01398794;-0.1021651;1.359678,0.04838512;-0.3466114;1.305118,0.1229089;-0.4248745;1.13072,0.1462906;-0.4321434;1.043176,-0.1598626;-0.5447255;1.392094,1
4133,836;13888;-8232,1292;-474;-919,-0.1716785;0.1360586;1.291596,-0.1796318;-0.08084548;1.33081,-0.01401587;-0.102207;1.35945,0.04825018;-0.3468024;1.305657,0.1219732;-0.4261654;1.135639,0.1474874;-0.4356519;1.047851,-0.1598627;-0.5447595;1.392192,1
4168,624;13936;-8564,1163;-646;-991,-0.1713383;0.1360117;1.291358,-0.1794411;-0.08096309;1.33049,-0.01377946;-0.1026832;1.359329,0.04811699;-0.3474399;1.306013,0.1216179;-0.4267477;1.136647,0.1470006;-0.435633;1.04702,-0.1596902;-0.5448293;1.391948,1
4201,664;13876;-8564,963;-529;-1090,-0.1711321;0.135962;1.29136,-0.1793692;-0.08098933;1.330478,-0.01354323;-0.1030899;1.359627,0.04733391;-0.3482831;1.307559,0.1207237;-0.4284032;1.141608,0.146719;-0.4385119;1.052473,-0.1597702;-0.5448995;1.391981,1
4232,516;13792;-8464,1102;-529;-1505,-0.1708221;0.1358175;1.291243,-0.1791672;-0.08114152;1.330453,-0.01348653;-0.1031692;1.359705,0.04698603;-0.3485924;1.308535,0.1204206;-0.4285904;1.142739,0.1468495;-0.4399435;1.050424,-0.1597472;-0.5449193;1.391982,1
4265,864;14544;-8772,1214;-575;-1373,-0.1706541;0.1357988;1.291251,-0.1790124;-0.08121485;1.330483,-0.01339242;-0.1033976;1.3599,0.0460671;-0.3493622;1.310864,0.1196758;-0.4287081;1.145307,0.1472161;-0.4422019;1.053131,-0.1597497;-0.5449604;1.391985,1
4299,868;14500;-8840,1180;-493;-1233,-0.1704613;0.1357064;1.291261,-0.1789899;-0.08122897;1.330475,-0.01346216;-0.1033727;1.359481,0.04465446;-0.350094;1.313848,0.1185575;-0.4291596;1.149088,0.1466035;-0.4422375;1.056307,-0.1596687;-0.5450118;1.392006,1
4332,932;14940;-9032,1055;-306;-786,-0.1702792;0.1357008;1.291298,-0.1789574;-0.08123202;1.330492,-0.01353511;-0.1033142;1.359129,0.0446467;-0.3500731;1.31392,0.1185629;-0.4291986;1.149163,0.1469904;-0.4450916;1.056598,-0.1596833;-0.5450214;1.392031,2
4365,1008;15564;-9744,1190;148;-368,-0.1699481;0.1355581;1.291036,-0.178707;-0.08130537;1.330083,-0.01336221;-0.1036292;1.35914,0.04462627;-0.350437;1.313997,0.1184336;-0.4290854;1.149361,0.1455562;-0.4424757;1.054388,-0.1596949;-0.5450541;1.391854,2
4402,1452;16016;-10172,657;1025;267,-0.1697663;0.1355271;1.291029,-0.1786598;-0.08128725;1.330055,-0.01323378;-0.1038735;1.359532,0.04465701;-0.3506552;1.314019,0.118465;-0.429579;1.149319,0.1467717;-0.4440579;1.054575,-0.1597237;-0.5450551;1.391858,2
4432,2208;16688;-9992,700;2221;1161,-0.1696239;0.1355246;1.291075,-0.1786332;-0.08129156;1.330035,-0.01312139;-0.1041566;1.359761,0.04479685;-0.3508983;1.314006,0.1184573;-0.4295804;1.149451,0.1464684;-0.442641;1.054986,-0.1597503;-0.5450572;1.391861,2
4465,2220;17192;-9568,142;2901;2528,-0.1695199;0.1354993;1.291089,-0.1785742;-0.08128021;1.33007,-0.01295987;-0.1044176;1.360078,0.04478116;-0.3512455;1.314734,0.1185005;-0.4298809;1.149568,0.1466674;-0.4430715;1.057007,-0.1597483;-0.5450837;1.391868,2
4499,2772;16820;-9468,373;3209;4083,-0.1693865;0.1354688;1.291081,-0.1784674;-0.08131675;1.330015,-0.01305948;-0.1042989;1.359609,0.04466037;-0.3511845;1.314682,0.1181859;-0.4296371;1.150424,0.1464941;-0.4426769;1.056339,-0.1596666;-0.5451058;1.391753,2
4532,3436;16176;-9424,806;3780;4989,-0.1692083;0.1355328;1.291196,-0.178553;-0.08132914;1.330136,-0.01292135;-0.1045512;1.360085,0.04463965;-0.3514448;1.314957,0.118225;-0.429876;1.150457,0.1469488;-0.4432646;1.056019,-0.1596756;-0.5451108;1.391759,2
4565,4048;16284;-8876,-196;4153;5817,-0.1691085;0.1354897;1.291228,-0.178454;-0.08132732;1.3301,-0.0130209;-0.104439;1.3597,0.04465631;-0.3513352;1.314797,0.1182345;-0.4299523;1.150521,0.1465228;-0.4427682;1.05478,-0.1596534;-0.5451119;1.391778,2
4601,4740;16236;-8560,546;4441;6982,-0.1690163;0.1354583;1.291309,-0.1784325;-0.08132897;1.330126,-0.01277345;-0.1046832;1.360359,0.04371631;-0.3520515;1.317262,0.118167;-0.4301163;1.150683,0.1464263;-0.4431981;1.056668,-0.1596658;-0.5451307;1.391832,2
4633,4800;15500;-8320,-136;4470;7718,-0.1689003;0.1354333;1.291313,-0.1784008;-0.08132181;1.330092,-0.01271022;-0.104785;1.36046,0.04374889;-0.3521484;1.317272,0.1180304;-0.4301798;1.151053,0.1453266;-0.4427506;1.058027,-0.1595882;-0.5451626;1.391743,2
4668,5236;14176;-8044,53;4845;8079,-0.1687601;0.1355221;1.291739,-0.1783211;-0.08132952;1.330398,-0.01255085;-0.1050979;1.36139,0.04391834;-0.3523616;1.317396,0.1180077;-0.4301887;1.151211,0.1452924;-0.4409004;1.056284,-0.1597029;-0.5452307;1.392036,2
4698,6176;14212;-7744,-98;5036;8091,-0.1686911;0.135568;1.291888,-0.1782508;-0.08133614;1.33043,-0.01268633;-0.1049101;1.360926,0.04384369;-0.3522114;1.317351,0.129158;-0.4309607;1.113839,0.1443327;-0.4364248;1.05533,-0.1596747;-0.5452187;1.392127,2
4732,6900;13584;-7272,174;4759;8210,-0.1686439;0.1355712;1.291888,-0.1782208;-0.08132973;1.330444,-0.01258972;-0.1051842;1.361214,0.04401349;-0.3522969;1.316184,0.129353;-0.429938;1.113216,0.1434835;-0.4318471;1.053319,-0.1597115;-0.5452348;1.392128,2
4765,7980;13512;-7048,-68;4495;8113,-0.1685555;0.1355538;1.291788,-0.1782053;-0.08132473;1.330398,-0.01258705;-0.1052044;1.361214,0.04457983;-0.351981;1.314485,0.1296126;-0.4278232;1.110157,0.1428198;-0.4264458;1.048658,-0.159672;-0.5452604;1.392002,2
4798,8524;13496;-7308,292;5071;8369,-0.1685057;0.1355633;1.291849,-0.1781843;-0.08128465;1.33042,-0.01278313;-0.104881;1.360729,0.04490085;-0.3515182;1.313794,0.1298137;-0.4225682;1.106985,0.1423825;-0.4181498;1.046233,-0.1596581;-0.545216;1.392043,2
4834,8916;13396;-6676,142;5103;9123,-0.1684275;0.1356161;1.292042,-0.17815;-0.08126314;1.33055,-0.01291704;-0.1046642;1.360427,0.04576287;-0.3507127;1.310778,0.1285116;-0.4180706;1.107978,0.1424386;-0.4076288;1.042031,-0.1596825;-0.5451705;1.392128,2
4867,9972;11904;-6552,962;5266;9401,-0.1683872;0.1356523;1.292091,-0.1781444;-0.08122971;1.330586,-0.01289192;-0.1046467;1.360704,0.04701701;-0.3500601;1.308685,0.1275678;-0.4076272;1.107903,0.1414516;-0.3954963;1.040835,-0.1596714;-0.5451494;1.392107,2
4898,10792;11360;-5540,222;5372;9491,-0.1683279;0.1359439;1.293279,-0.1782005;-0.08110204;1.33117,-0.01317358;-0.1038364;1.362955,0.04722925;-0.3487214;1.308277,0.126972;-0.4001485;1.10727,0.1425776;-0.3826656;1.036775,-0.1597593;-0.5451233;1.392701,2
4932,11332;10804;-5172,341;5327;9395,-0.1682615;0.1360173;1.293687,-0.1782562;-0.08100971;1.331456,-0.01313617;-0.1037993;1.363476,0.04817628;-0.3480802;1.306512,0.1259712;-0.3939492;1.104828,0.1418477;-0.3712563;1.036292,-0.1597614;-0.5451398;1.392881,2
4966,11788;9928;-4792,617;5259;9600,-0.1682491;0.1360472;1.29378,-0.1782566;-0.08095891;1.331468,-0.01312012;-0.1037357;1.363549,0.04913977;-0.3466883;1.300643,0.1239603;-0.3666559;1.097766,0.1429436;-0.3511747;1.028542,-0.1597871;-0.5451456;1.392862,2
4998,12480;9136;-4476,134;5545;9600,-0.1681632;0.1360718;1.293974,-0.178233;-0.08084571;1.331709,-0.01310879;-0.1035295;1.363993,0.04935168;-0.3460008;1.29895,0.1241148;-0.36263;1.097381,0.1423243;-0.3378155;1.030471,-0.1597495;-0.5450952;1.392984,2
5032,13604;7824;-3612,-234;5485;9637,-0.1681886;0.1362294;1.294759,-0.178401;-0.08075532;1.332413,-0.0131057;-0.1029797;1.365355,0.04929709;-0.3452372;1.299212,0.12435;-0.3549279;1.096237,0.1412786;-0.3237229;1.031845,-0.1598663;-0.545112;1.393305,2
5071,13988;6436;-2908,795;5211;9137,-0.1681728;0.1362493;1.29481,-0.1784027;-0.08075259;1.332506,-0.01337637;-0.1026064;1.364138,0.04980883;-0.3445897;1.297608,0.1249546;-0.3301668;1.091796,0.1407867;-0.3064403;1.023913,-0.1600832;-0.5451475;1.393317,2
5101,14388;5284;-2000,1073;4841;8861,-0.1681684;0.1362942;1.294795,-0.1784165;-0.08067776;1.332479,-0.01337497;-0.1025125;1.364183,0.05191122;-0.3424805;1.291247,0.1248476;-0.3222277;1.088382,0.1391496;-0.2911552;1.024011,-0.1601174;-0.545121;1.393276,2
5133,14420;4024;-1288,392;4621;7532,-0.168198;0.1363762;1.294935,-0.1784142;-0.0806426;1.332525,-0.01337626;-0.1023101;1.364406,0.05284284;-0.341675;1.290048,0.1250678;-0.3123003;1.08722,0.139357;-0.2762608;1.020537,-0.1601693;-0.5451177;1.393324,2
5167,14448;2784;-844,573;3766;6301,-0.1682197;0.1364685;1.295027,-0.1784061;-0.08064768;1.332551,-0.01337015;-0.1021439;1.364594,0.06016291;-0.3359856;1.278138,0.1239096;-0.300822;1.084138,0.1374247;-0.2652877;1.0219,-0.1601867;-0.5451207;1.393314,2
5198,14468;2444;64,223;2990;4967,-0.1682523;0.1365227;1.295184,-0.1783714;-0.08065296;1.332748,-0.01333394;-0.1020313;1.364748,0.06450738;-0.3324195;1.271982,0.1239692;-0.2892607;1.082254,0.1376237;-0.249724;1.015168,-0.1601918;-0.5451056;1.393409,2
5231,14960;2044;-144,710;2374;3993,-0.16827;0.1365805;1.295282,-0.1784017;-0.08060752;1.332838,-0.01338472;-0.1018451;1.364835,0.06444161;-0.3318977;1.271078,0.1232916;-0.2802497;1.080851,0.1362627;-0.2392779;1.016174,-0.1601803;-0.5450614;1.393461,2
5266,15316;2084;-168,540;2121;2901,-0.1682916;0.1366066;1.295282,-0.1783941;-0.08059611;1.332836,-0.01364821;-0.1015033;1.363335,0.06779101;-0.3293048;1.266735,0.1221423;-0.2738353;1.07922,0.1349961;-0.2278046;1.011868,-0.1601711;-0.5450187;1.393417,2
5298,15276;1696;348,68;1632;2291,-0.1683962;0.1366551;1.295606,-0.1784779;-0.08053537;1.33314,-0.01364462;-0.1011469;1.364055,0.06754604;-0.3287242;1.266601,0.1215784;-0.2649911;1.077765,0.1345405;-0.2198541;1.014186,-0.1601945;-0.5449717;1.393601,2
5334,15676;1088;1184,614;779;1611,-0.1684764;0.1367156;1.295687,-0.1784781;-0.08051164;1.333134,-0.0136422;-0.1011121;1.364088,0.06737996;-0.3281113;1.264924,0.1207374;-0.2593939;1.07671,0.1330455;-0.212018;1.015938,-0.1601868;-0.5449444;1.393602,2
5366,15232;652;788,389;-72;580,-0.1685502;0.1367855;1.295763,-0.1784893;-0.08043727;1.333203,-0.01383464;-0.1009387;1.363139,0.06733274;-0.3280178;1.264306,0.1198737;-0.2540468;1.076944,0.1314239;-0.2089897;1.014833,-0.1601839;-0.5448544;1.393641,2
5398,15172;496;948,278;157;-610,-0.1687652;0.1368662;1.295947,-0.1785005;-0.08042913;1.333259,-0.01389159;-0.100827;1.363343,0.06733657;-0.3276526;1.263895,0.1193664;-0.2510861;1.077401,0.131511;-0.2047745;1.015762,-0.1601712;-0.5448079;1.393746,2
5432,15124;344;1040,346;-843;-1520,-0.1689742;0.1369465;1.296032,-0.1786075;-0.08039045;1.333393,-0.01411414;-0.1006241;1.362673,0.06762956;-0.3260442;1.260062,0.1189103;-0.2490876;1.077211,0.1305874;-0.2049979;1.015297,-0.1601763;-0.5447842;1.393764,2
5467,14816;-824;1284,571;-1973;-3244,-0.1691363;0.1369666;1.295843,-0.1787574;-0.08031434;1.333124,-0.01432731;-0.1004005;1.361699,0.0676162;-0.3244937;1.255971,0.1188047;-0.248566;1.077027,0.1304783;-0.2040761;1.013879,-0.1600892;-0.5446558;1.393589,2
5501,14196;-604;1264,944;-2970;-5577,-0.1693872;0.1370388;1.295835,-0.1788148;-0.08029826;1.333141,-0.0143865;-0.1003008;1.361956,0.06753728;-0.3243641;1.256138,0.1185863;-0.2484046;1.077305,0.1308679;-0.2055392;1.014997,-0.160091;-0.5446357;1.393578,2
5533,14284;424;792,654;-4274;-7547,-0.1696112;0.1370808;1.295797,-0.1788618;-0.08028959;1.333155,-0.0145443;-0.1001887;1.3613,0.06754651;-0.3245043;1.256231,0.118525;-0.2484377;1.077218,0.1309545;-0.2088281;1.015893,-0.1600722;-0.5445979;1.393542,2
5565,13876;1816;-348,1623;-5122;-9162,-0.1698118;0.1371137;1.295855,-0.1789788;-0.08028783;1.33323,-0.01465139;-0.1000895;1.361025,0.0674796;-0.324593;1.256446,0.118457;-0.2489889;1.077299,0.1316082;-0.2147675;1.016177,-0.1600754;-0.5445986;1.393546,2
5599,13820;3100;-1516,1747;-5753;-9939,-0.1700029;0.1371702;1.295941,-0.1790875;-0.08027577;1.333298,-0.01477989;-0.09996121;1.360772,0.06698795;-0.3249598;1.257085,0.1183384;-0.2499375;1.077558,0.1323382;-0.2189649;1.014037,-0.160092;-0.5445712;1.393553,2
5633,14128;4360;-2356,1888;-5721;-11226,-0.170217;0.1372323;1.295928,-0.1791566;-0.08027884;1.333282,-0.01491328;-0.09989607;1.361175,0.06607942;-0.3262134;1.260126,0.1180374;-0.2536614;1.078246,0.1327036;-0.2267442;1.014791,-0.1601122;-0.5445483;1.393554,2
5667,13844;6676;-2812,972;-5663;-11712,-0.1704706;0.1373065;1.29602,-0.1792269;-0.08027611;1.333299,-0.01501912;-0.09984379;1.360982,0.06529348;-0.3275037;1.262831,0.1181826;-0.2604694;1.079847,0.1332329;-0.2370384;1.017197,-0.1601573;-0.5445426;1.393568,2
5699,13588;7964;-3200,2265;-5847;-11425,-0.1705776;0.1373053;1.296029,-0.1793115;-0.08027638;1.33331,-0.01511071;-0.09980468;1.360698,0.06554496;-0.328613;1.266038,0.1175535;-0.2700257;1.08102,0.1337374;-0.2470764;1.018415,-0.1602393;-0.5445411;1.393519,2
5732,13536;8276;-4216,1974;-5763;-11637,-0.1708038;0.137307;1.296144,-0.1795034;-0.08022837;1.33339,-0.01518523;-0.0997715;1.360564,0.06589139;-0.3289709;1.267439,0.1186971;-0.2773369;1.081443,0.1352753;-0.2581449;1.018299,-0.1602935;-0.5445326;1.393523,2
5766,12472;10060;-4836,2980;-5437;-12052,-0.1709575;0.1373373;1.296148,-0.1795744;-0.0802044;1.333368,-0.01537431;-0.09982106;1.361204,0.06575842;-0.3292343;1.268764,0.1192688;-0.2884765;1.082292,0.136625;-0.2710204;1.017511,-0.1604505;-0.544581;1.393508,2
5799,11724;11444;-4928,2346;-5053;-11696,-0.1710328;0.1373168;1.295916,-0.1796797;-0.08022094;1.333088,-0.01538006;-0.09983113;1.361226,0.05498457;-0.3378343;1.285962,0.1200319;-0.2986917;1.082657,0.13766;-0.2833515;1.016491,-0.1605532;-0.544494;1.393112,2
5831,11684;12668;-5220,2248;-4773;-11290,-0.171129;0.1373016;1.295801,-0.1799833;-0.08022712;1.333015,-0.01540883;-0.09988949;1.361407,0.05481008;-0.3379672;1.286272,0.1218472;-0.3069756;1.083764,0.1392605;-0.2981682;1.01791,-0.1606165;-0.5444887;1.393042,2
5867,10548;12368;-4760,1398;-5316;-10732,-0.1714565;0.137317;1.296339,-0.1803726;-0.08029734;1.333728,-0.01559681;-0.100104;1.364082,0.05444128;-0.3381672;1.28873,0.1230014;-0.3209974;1.091562,0.1416783;-0.3135609;1.023896,-0.1607508;-0.5444734;1.393711,2
5899,9888;13728;-5828,3424;-6004;-10361,-0.1715491;0.1373321;1.296376,-0.1804128;-0.08030091;1.33376,-0.01569949;-0.1001627;1.363286,0.05364715;-0.338846;1.28959,0.1224941;-0.3330371;1.093701,0.1413206;-0.3268542;1.024256,-0.1607352;-0.5444469;1.393747,2
5935,9016;13472;-6692,2271;-6006;-9929,-0.1715872;0.137313;1.296315,-0.18048;-0.08024333;1.33372,-0.01576869;-0.1001078;1.36278,0.05319336;-0.3392613;1.290546,0.1223674;-0.3393354;1.095243,0.1416395;-0.3394783;1.025865,-0.1607211;-0.5444291;1.393743,2
5966,8736;14716;-6844,386;-5010;-10244,-0.171605;0.1372898;1.296285,-0.1805058;-0.08029053;1.333682,-0.01580558;-0.1001159;1.362283,0.05326535;-0.3393549;1.290529,0.1226903;-0.3447057;1.096065,0.1421311;-0.3536433;1.027144,-0.160774;-0.54443;1.393677,2
6000,6876;15584;-6868,743;-4230;-9625,-0.1715854;0.1372406;1.296194,-0.1805306;-0.08028122;1.333684,-0.01578315;-0.1001572;1.361961,0.05337768;-0.3395598;1.291004,0.1268231;-0.3584982;1.089727,0.1427324;-0.3648779;1.030267,-0.1607741;-0.5444005;1.39369,2
6031,6372;15780;-7376,2716;-5175;-8414,-0.1714771;0.1371399;1.295936,-0.1805847;-0.08031948;1.333488,-0.01575779;-0.1002399;1.361323,0.05292809;-0.3402028;1.292202,0.1245837;-0.376286;1.097218,0.1427621;-0.3733747;1.028976,-0.1608382;-0.544363;1.393323,2
