Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
2702,256;7836;13936,1114;-468;-311,0.06287148;0.204403;1.223286,0.06084907;0.02245861;1.261199,0.1895933;0.009993574;1.221374,0.1857434;-0.1122607;0.9965751,0.1843047;-0.2249254;0.771475,0.1915824;-0.2422045;0.6997591,0.08487741;-0.4147388;1.310658,0
2730,300;7676;14220,841;-479;-377,0.0628668;0.204468;1.2235,0.06130437;0.02197923;1.261241,0.1900738;0.009108439;1.221404,0.1872444;-0.123362;1.002504,0.1918166;-0.2550725;0.7881252,0.1963332;-0.2837562;0.7221671,0.09122473;-0.4157183;1.305988,0
2765,468;7364;13864,1230;-541;-349,0.06290316;0.2044854;1.223515,0.06172993;0.02119968;1.260798,0.1908806;0.007682375;1.221789,0.1870043;-0.1553092;1.024932,0.1959962;-0.2941917;0.8154858,0.2013223;-0.3206509;0.7535473,0.09211531;-0.4174773;1.301081,0
2798,8;7496;14252,1474;-477;-233,0.06294522;0.2044665;1.223283,0.06192401;0.02045655;1.259855,0.1916584;0.005801504;1.221844,0.1892252;-0.1630891;1.030132,0.1998603;-0.3184349;0.832959,0.2053345;-0.3474771;0.7872233,0.09003508;-0.4181392;1.300509,0
2831,0;7584;13988,1859;-872;105,0.06298872;0.204415;1.223076,0.06192268;0.01962475;1.259164,0.1992096;-0.007904694;1.21798,0.1956903;-0.1941929;1.047246,0.206994;-0.3547401;0.8618318,0.2096802;-0.3635058;0.8283952,0.08622719;-0.4214071;1.298587,0
2863,-148;7392;13904,2106;-904;286,0.06295915;0.2041848;1.222356,0.0616146;0.01849487;1.258114,0.2010398;-0.01322058;1.21663,0.1989937;-0.2189236;1.067037,0.2133361;-0.3478523;0.9309214,0.2160491;-0.3844786;0.8605043,0.08044487;-0.4255338;1.296358,0
2899,348;7932;13792,2248;-651;429,0.06295846;0.2037671;1.220305,0.06191492;0.0176184;1.255905,0.1994424;-0.01185207;1.218944,0.2067853;-0.2259195;1.082729,0.2117175;-0.398337;0.9487528,0.2218557;-0.4187814;0.8707263,0.08415452;-0.424729;1.292934,0
2931,468;7852;13888,854;127;597,0.06297984;0.2033896;1.218986,0.0614817;0.01663711;1.254325,0.1994717;-0.01250578;1.219237,0.2091613;-0.2296902;1.088649,0.2108083;-0.3980347;0.9715466,0.2250726;-0.4365058;0.896713,0.07956262;-0.4262691;1.292182,0
2964,716;7528;13852,1260;293;625,0.06301621;0.2032384;1.218605,0.06147318;0.01593873;1.253949,0.2014277;-0.01687026;1.220628,0.2120076;-0.2363794;1.094498,0.2105694;-0.4071574;0.9887473,0.2208105;-0.4503971;0.937136,0.07872567;-0.4282712;1.291959,0
2996,808;7668;14096,1010;552;634,0.06312418;0.2028051;1.217342,0.06180022;0.01547479;1.253244,0.2013781;-0.01690803;1.220845,0.2132415;-0.2380198;1.09795,0.2108665;-0.4075252;0.9899407,0.2224078;-0.4499833;0.9374985,0.08046669;-0.4278722;1.291749,0
3032,712;7248;13952,808;577;355,0.06324546;0.2027801;1.217129,0.0617355;0.0152075;1.253031,0.2024742;-0.02022241;1.221865,0.214343;-0.2407747;1.097948,0.2113184;-0.4088262;0.9919715,0.224475;-0.4517078;0.9371868,0.08020877;-0.4290655;1.291922,0
3063,588;7580;14312,1313;123;395,0.0634717;0.2026579;1.216187,0.06176405;0.01486269;1.252496,0.2023822;-0.02004801;1.222002,0.2148219;-0.2409524;1.098838,0.2114793;-0.4090338;0.9919924,0.2216987;-0.4478555;0.9370738,0.07997314;-0.4290718;1.292114,0
3099,872;7136;14108,1908;-280;-8,0.06367878;0.2025485;1.215105,0.06176731;0.0144967;1.251751,0.2032716;-0.02137616;1.221784,0.2152308;-0.2419092;1.097861,0.2116465;-0.4099216;0.9916198,0.2223566;-0.449139;0.9355662,0.07968958;-0.4302895;1.291531,0
