Time_Stamp,Accel,Gyro,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
2656,1708;-652;-17304,1124;-525;-1023,-0.246875;-0.05032452;0.9641049,-0.2229568;-0.01511645;1.183139,-0.1642528;0.1947167;1.167315,0.005422698;0.2099264;1.136653,0.01483955;-0.2599887;1.306516,0
2688,1792;-684;-17400,1170;-473;-1010,-0.2460805;-0.05079396;0.9651887,-0.223252;-0.01471661;1.184196,-0.1641954;0.1948042;1.167091,0.00546964;0.2099447;1.136581,0.01489492;-0.2600061;1.30638,0
2721,1804;-652;-17380,1138;-489;-1005,-0.2453243;-0.05183673;0.9648857,-0.2236847;-0.01450377;1.183802,-0.1641659;0.1949518;1.167142,0.005495308;0.2099685;1.136607,0.01524724;-0.2596168;1.306888,0
2753,1772;-556;-17236,1150;-462;-1003,-0.2435094;-0.05277639;0.9666561,-0.2232189;-0.01433525;1.185507,-0.1641502;0.1949612;1.167115,0.005533338;0.2099801;1.136593,0.01513658;-0.2595477;1.306879,0
2787,1792;-512;-17088,1156;-481;-1005,-0.2430995;-0.0535137;0.9669253,-0.223199;-0.01417198;1.185649,-0.1641198;0.1951158;1.167231,0.005573659;0.2100133;1.136668,0.01525038;-0.2592575;1.307312,0
2819,1768;-616;-17308,1140;-521;-1000,-0.2427291;-0.05413968;0.9675802,-0.2232377;-0.01392862;1.18618,-0.1640955;0.1952545;1.167273,0.005589079;0.2100385;1.136717,0.01520155;-0.2592272;1.30739,0
2853,1736;-624;-17236,1145;-462;-1002,-0.2425275;-0.05459455;0.9674418,-0.2241469;-0.01359527;1.18599,-0.1640532;0.1953488;1.167362,0.005652625;0.2100694;1.13678,0.01504856;-0.2591846;1.307534,0
2888,1772;-608;-17280,1129;-472;-997,-0.242584;-0.05485969;0.9674047,-0.2240448;-0.01363835;1.185895,-0.1640513;0.1953518;1.167371,0.005662034;0.2100859;1.136829,0.01547684;-0.2588791;1.307868,0
2921,1828;-592;-17408,1160;-483;-999,-0.2425579;-0.05519427;0.9674567,-0.2240255;-0.01359103;1.185872,-0.164038;0.195407;1.167393,0.005685811;0.2101079;1.136836,0.01547739;-0.2588789;1.307866,0
2956,1720;-612;-17308,1142;-475;-1001,-0.2425154;-0.05541287;0.9671443,-0.2240965;-0.01355089;1.185518,-0.1639975;0.195436;1.167173,0.005778016;0.2100713;1.136663,0.01550774;-0.2589567;1.307581,0
2986,1816;-640;-17248,1153;-475;-993,-0.2424093;-0.05586719;0.9681411,-0.2246897;-0.01305293;1.186385,-0.1640002;0.1956883;1.167676,0.005884868;0.210156;1.136938,0.01549826;-0.2589424;1.307966,0
3019,1764;-676;-17320,1149;-495;-989,-0.2424202;-0.05619341;0.9684451,-0.2251699;-0.01287671;1.186624,-0.1640105;0.195712;1.167892,0.00593824;0.2101996;1.137117,0.01548203;-0.2589569;1.308001,0
3053,1724;-628;-17312,1150;-482;-999,-0.2422595;-0.05613507;0.9710427,-0.2259746;-0.01208048;1.189145,-0.1640117;0.195863;1.168245,0.005968285;0.2102746;1.137461,0.01542735;-0.2587818;1.308593,0
3087,1772;-604;-17292,1151;-501;-993,-0.2426606;-0.05728943;0.9677329,-0.2272527;-0.01221913;1.185691,-0.1639335;0.195888;1.16813,0.006024593;0.2102647;1.137403,0.01554203;-0.2588138;1.308418,0
3121,1768;-544;-17232,1163;-470;-1003,-0.2434176;-0.05785242;0.9678966,-0.2272419;-0.01217419;1.185668,-0.1639332;0.1959324;1.168093,0.006035383;0.2102598;1.137401,0.01564876;-0.2587747;1.308446,0
3154,1844;-628;-17476,1145;-480;-994,-0.2433284;-0.05744731;0.9697873,-0.2269841;-0.01184743;1.187559,-0.1639006;0.1960064;1.168131,0.006072057;0.2102438;1.137536,0.0156374;-0.2587976;1.308499,0
3186,1832;-556;-17356,1157;-485;-1009,-0.243496;-0.05804558;0.967319,-0.2275244;-0.01206493;1.185037,-0.1638741;0.1960263;1.16804,0.006096826;0.2101557;1.137381,0.01535311;-0.2589722;1.308041,0
3218,1824;-568;-17272,1167;-468;-1005,-0.2434141;-0.05790836;0.9679787,-0.2275915;-0.01188824;1.185697,-0.1638682;0.1960665;1.168039,0.006099862;0.2101482;1.137391,0.01534333;-0.2589594;1.308043,0
3252,1796;-596;-17348,1168;-470;-1001,-0.2434319;-0.05793351;0.9679083,-0.2275925;-0.01187986;1.185616,-0.1638575;0.1960788;1.168015,0.006091932;0.2101512;1.137357,0.01542548;-0.2589686;1.307981,0
3286,1772;-612;-17360,1128;-469;-1000,-0.2434347;-0.0579555;0.9678695,-0.2276067;-0.01186913;1.185569,-0.1638479;0.1960842;1.167994,0.006067215;0.2101461;1.13735,0.0154178;-0.2589939;1.307966,0
3320,1820;-664;-17228,1144;-483;-996,-0.243468;-0.05797431;0.9679307,-0.2275275;-0.01187463;1.185617,-0.1638726;0.1961161;1.16808,0.006037543;0.2101474;1.137406,0.0154562;-0.2590102;1.307989,0
3354,1704;-604;-17348,1150;--513;-879,-0.2434748;-0.05795171;0.9679446,-0.227505;-0.01185814;1.185628,-0.1638678;0.1961303;1.168055,0.005973556;0.2101312;1.137355,0.01545504;-0.259028;1.30796,0
3386,-1676;-4548;15180,968;-403;-960,-0.2436029;-0.05796782;0.9679782,-0.2274545;-0.01187418;1.185646,-0.1638934;0.1961288;1.168027,0.005951853;0.210132;1.137349,0.01556362;-0.2590655;1.307936,0
3418,-1724;-4592;15408,1240;-392;-916,-0.2437481;-0.05799412;0.9680223,-0.2274613;-0.01185453;1.185667,-0.1638997;0.1961388;1.168005,0.005917533;0.2101199;1.13734,0.01491336;-0.2591918;1.307851,0
3453,-1652;-4444;15148,993;-300;-1030,-0.2437308;-0.05824878;0.9672155,-0.2279847;-0.01179957;1.184833,-0.1639613;0.1961765;1.167966,0.005929067;0.2101222;1.137336,0.01505003;-0.2591842;1.307818,0
3487,-1812;-4640;15604,1265;-509;-979,-0.243817;-0.05742548;0.9705216,-0.2259622;-0.01183971;1.188154,-0.1640107;0.1962097;1.167932,0.005925504;0.2101232;1.137334,0.01507275;-0.2591847;1.30782,0
3519,-1604;-4344;15380,933;-492;-1007,-0.2439275;-0.0577049;0.9696788,-0.2264796;-0.01186559;1.187289,-0.1640755;0.1961955;1.167935,0.00590126;0.2101262;1.137329,0.0152195;-0.2591804;1.307823,0
3553,-1760;-4560;15236,1261;-518;-986,-0.2439928;-0.05774011;0.9696956,-0.2264978;-0.01186565;1.187293,-0.1641192;0.1961956;1.167906,0.005806445;0.2101146;1.137318,0.01537837;-0.2591549;1.307801,0
3588,-1744;-4444;15316,1007;-446;-878,-0.2440348;-0.05806427;0.9686216,-0.2273308;-0.01180562;1.186199,-0.1641671;0.1961916;1.167878,0.00570762;0.2100935;1.137301,0.01534668;-0.259211;1.307744,0
3619,-1632;-4660;15092,1105;-511;-954,-0.2440363;-0.05799746;0.9690822,-0.2269026;-0.0118496;1.186647,-0.1642853;0.1962096;1.167693,0.005592942;0.2100692;1.137065,0.01552549;-0.2592672;1.307391,0
3653,-1756;-4612;15280,1215;-535;-967,-0.2439973;-0.05825419;0.9684336,-0.2275757;-0.01174262;1.185974,-0.1643793;0.1962583;1.167757,0.005535238;0.2100647;1.137094,0.01533136;-0.2592983;1.307384,1
3687,-1652;-4552;15136,953;-424;-1050,-0.2439768;-0.05779645;0.9704005,-0.2272118;-0.01150216;1.187958,-0.1643948;0.1962707;1.167791,0.005426254;0.210107;1.1371,0.01534681;-0.2592844;1.307426,1
3718,-1708;-4628;15556,1222;-428;-1050,-0.2442024;-0.05843798;0.9678118,-0.227444;-0.01188709;1.185314,-0.164467;0.1962853;1.167711,0.005379707;0.2101073;1.137105,0.0155413;-0.2590725;1.307554,1
