Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
2023,-3968;-2328;-16524,1162;-471;-960,-0.06815182;0.01104907;1.187466,0.09920574;-0.00108712;1.20154,0.1562716;-0.2184163;1.224321,0.1839158;-0.2624848;0.9944445,-0.03974834;-0.4544744;1.274405,0
2055,-4012;-2408;-16412,1153;-467;-967,-0.06805232;0.01108647;1.187476,0.0992149;-0.00102646;1.201577,0.1567234;-0.217828;1.223894,0.1836624;-0.2623089;0.9934967,-0.03974665;-0.4544214;1.274426,0
2090,-4076;-2284;-16388,1124;-454;-970,-0.06793379;0.01113092;1.187668,0.09923767;-0.0008926498;1.201731,0.1565605;-0.219983;1.224966,0.1822349;-0.2628738;0.995328,-0.03975004;-0.4544488;1.274471,0
2123,-4020;-2372;-16396,1161;-473;-935,-0.0678718;0.01117114;1.187858,0.09925158;-0.0007604407;1.201916,0.1567905;-0.2197273;1.224963,0.1813859;-0.2650124;0.986005,-0.0398758;-0.4543437;1.27482,0
2156,-3984;-2304;-16356,1146;-491;-956,-0.06779937;0.0112119;1.187801,0.09952749;-0.001621596;1.201006,0.1569131;-0.2192241;1.224341,0.1791954;-0.2677417;0.9785951,-0.03950213;-0.4543872;1.274653,0
2190,-3980;-2260;-16420,1132;-507;-957,-0.06779405;0.01125501;1.187793,0.0995228;-0.001552638;1.201072,0.1568846;-0.2196935;1.224302,0.1787227;-0.2681623;0.9796307,-0.03936027;-0.4544145;1.27461,0
2221,-4048;-2344;-16584,1151;-477;-955,-0.06776272;0.01126987;1.187809,0.09967645;-0.002124001;1.200734,0.1563328;-0.2231882;1.225519,0.1766537;-0.2712633;0.9778257,-0.0391604;-0.454471;1.274565,0
2254,-4028;-2312;-16440,1140;-444;-956,-0.06779768;0.011383;1.188048,0.09966844;-0.001896507;1.200952,0.1549748;-0.2302564;1.230534,0.1747769;-0.2796673;0.9830699,-0.03921022;-0.4544499;1.274585,0
2288,-4112;-2324;-16460,1135;-486;-955,-0.0677685;0.0115178;1.188301,0.09965898;-0.001731316;1.201179,0.1544587;-0.2318792;1.235807,0.1739545;-0.2839438;0.9888726,-0.03925586;-0.4542978;1.274803,0
2323,-4004;-2244;-16592,1135;-459;-970,-0.06773335;0.01155594;1.188332,0.09962585;-0.001590622;1.201255,0.1541502;-0.2324047;1.236265,0.1741483;-0.2534535;1.037183,-0.03922945;-0.4542887;1.274764,0
2355,-3980;-2240;-16476,1161;-470;-954,-0.06773589;0.01157598;1.188307,0.09973476;-0.00190764;1.200964,0.1538572;-0.2328682;1.236958,0.1744855;-0.2531605;1.042092,-0.03931325;-0.4544545;1.27461,0
