Time_Stamp,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
2565,-0.1231941;-0.08553657;1.472363,0.06050933;-0.1175603;1.473573,0.2130973;-0.313945;1.401782,0.07698343;-0.4026534;1.195287,0.04078104;-0.4195613;1.152264,-0.1092465;-0.5308036;1.385709,0
2600,-0.1232779;-0.08556812;1.4726,0.06126936;-0.1194087;1.474916,0.149158;-0.3142527;1.438291,0.1301913;-0.4056948;1.24385,0.07946788;-0.4784462;1.15537,-0.1100064;-0.5318884;1.386487,0
2634,-0.1232803;-0.08557392;1.472694,0.06222272;-0.1216513;1.47578,0.1473305;-0.3181898;1.438852,0.1304028;-0.420107;1.249715,0.1017427;-0.4668447;1.201548,-0.1096415;-0.5317309;1.388559,0
2665,-0.1233133;-0.08555666;1.473833,0.0641018;-0.1253782;1.478925,0.1436868;-0.3257363;1.442759,0.126036;-0.4614052;1.277362,0.1136536;-0.4970625;1.204999,-0.1092609;-0.5317933;1.390917,0
2699,-0.1232293;-0.08556756;1.473909,0.06471837;-0.1266003;1.479218,0.1366347;-0.3353291;1.442917,0.1262177;-0.4658699;1.272692,0.117131;-0.503646;1.204651,-0.1091502;-0.5318816;1.3913,0
2733,-0.1231124;-0.08553663;1.474294,0.06467517;-0.1272542;1.480193,0.1319229;-0.3384181;1.444997,0.1255643;-0.467657;1.273555,0.115998;-0.5032987;1.200228,-0.1090402;-0.5318729;1.391889,0
2766,-0.1229782;-0.08553529;1.474354,0.06461374;-0.1273778;1.480793,0.1295536;-0.3387329;1.445662,0.1257;-0.4674611;1.27375,0.1177321;-0.4985934;1.194349,-0.1089478;-0.531844;1.392088,0
2799,-0.1227194;-0.08555645;1.47437,0.06466641;-0.1275568;1.481287,0.128218;-0.3388381;1.446411,0.1251088;-0.4671015;1.274122,0.1191317;-0.4963814;1.19471,-0.1088956;-0.5317775;1.392266,0
2832,-0.1224578;-0.08557736;1.474447,0.06491312;-0.127766;1.482127,0.1275896;-0.3393885;1.4469,0.1247589;-0.4672293;1.274281,0.119466;-0.4978316;1.197136,-0.1087647;-0.531762;1.392447,0
2865,-0.122181;-0.08560536;1.474519,0.06521205;-0.1280997;1.482498,0.1274324;-0.3398754;1.447235,0.1246879;-0.4674451;1.274407,0.1201684;-0.4993897;1.200122,-0.1087223;-0.5317453;1.392562,0
2900,-0.1217285;-0.08568402;1.475082,0.06587954;-0.1286863;1.483706,0.1525895;-0.38927;1.396955,0.1075199;-0.5053379;1.221721,0.1121834;-0.5376149;1.161743,-0.1085242;-0.5316336;1.393191,0
2934,-0.1215203;-0.08567598;1.475102,0.0661083;-0.1289963;1.4837,0.1134146;-0.3967643;1.428202,0.1299745;-0.4855835;1.232553,0.1327284;-0.5102919;1.167483,-0.108482;-0.5316401;1.393243,0
2965,-0.1213781;-0.08569097;1.475238,0.06641559;-0.1295037;1.484031,0.1133997;-0.3967562;1.428375,0.1299673;-0.4858848;1.232872,0.1326576;-0.5087371;1.167475,-0.1083844;-0.5316436;1.393427,0
2999,-0.1211689;-0.08570396;1.475383,0.06661886;-0.1296538;1.484234,0.1133314;-0.3967336;1.428541,0.1298855;-0.4861206;1.233159,0.1329587;-0.5093465;1.16757,-0.1083003;-0.531589;1.393609,0
3032,-0.120879;-0.0857271;1.475724,0.06685816;-0.1297504;1.484662,0.1277149;-0.3433115;1.450921,0.1248464;-0.4681362;1.27601,0.1214556;-0.4994538;1.200109,-0.1082327;-0.5315666;1.393764,0
3065,-0.1206562;-0.08575959;1.475833,0.06692865;-0.1297504;1.484754,0.1276956;-0.3432232;1.450878,0.1249967;-0.4680917;1.275998,0.1216414;-0.498326;1.199398,-0.1081892;-0.5314948;1.393886,0
3099,-0.1203006;-0.08583491;1.476603,0.06727703;-0.1300867;1.485523,0.1276864;-0.3431044;1.45121,0.1250846;-0.4680959;1.27642,0.1218051;-0.5005218;1.202223,-0.1080776;-0.531435;1.394203,0
3134,-0.1201459;-0.08590893;1.4767,0.06743311;-0.1302639;1.485596,0.1276788;-0.3431465;1.451166,0.125087;-0.4682259;1.276442,0.1213525;-0.4990264;1.199635,-0.1080743;-0.531424;1.394293,0
3166,-0.1199859;-0.08591229;1.476788,0.06768602;-0.1303587;1.485845,0.1276574;-0.3431779;1.451063,0.1249996;-0.4684909;1.276516,0.1216082;-0.4982901;1.199984,-0.1079947;-0.5313762;1.394402,0
3199,-0.1198927;-0.08592293;1.47677,0.06776249;-0.1303693;1.485836,0.1276422;-0.3432311;1.450731,0.1250069;-0.4687024;1.276302,0.1125361;-0.4941725;1.23044,-0.1079543;-0.5313588;1.394437,0
