Time_Stamp,HandLeft,WristLeft,ElbowLeft,ShoulderLeft,SpineShoulder,SpineBase,TrimmingId
2996,-0.2843137;-0.1886987;1.261907,-0.2042552;-0.1734302;1.349485,-0.1222917;0.05604544;1.429032,0.07342621;0.02541871;1.537067,0.2210903;0.02068924;1.536984,0.1929813;-0.4382883;1.481829,0
3032,-0.3488153;-0.1785338;1.168429,-0.2285597;-0.1622898;1.306928,-0.1109333;0.007328098;1.42028,0.0730129;0.02530711;1.538361,0.2210605;0.02067305;1.53722,0.1926026;-0.4379939;1.482091,0
3066,-0.3485816;-0.1786477;1.168386,-0.2277221;-0.1628926;1.305668,-0.1127411;0.009419919;1.425007,0.07268251;0.02531818;1.539272,0.2210214;0.02066311;1.537352,0.1922646;-0.4377914;1.482125,0
3099,-0.2336902;-0.2390994;1.152822,-0.1928781;-0.1933247;1.288928,-0.09592429;-0.005473359;1.419591,0.07219306;0.0256258;1.540055,0.2211433;0.02031061;1.537353,0.1919919;-0.4376264;1.482012,0
3130,-0.2750408;-0.1910187;1.259606,-0.225655;-0.1627151;1.300656,-0.1143497;0.01181566;1.429095,0.07130649;0.02624948;1.541542,0.2210077;0.01997821;1.537417,0.1915632;-0.4375272;1.481783,0
3165,-0.254561;-0.1942598;1.307326,-0.2019225;-0.1479953;1.362893,-0.1425854;0.07721382;1.472355,0.07059332;0.02632643;1.543928,0.2208096;0.02012867;1.53827,0.1910915;-0.4371933;1.482641,0
3198,-0.3515612;-0.181836;1.160904,-0.2008236;-0.1454745;1.364997,-0.1441317;0.07970376;1.476036,0.06975483;0.02665362;1.546003,0.2206216;0.0201951;1.538445,0.1904436;-0.4367054;1.483212,0
3232,-0.3550177;-0.181684;1.156285,-0.2261686;-0.161585;1.30559,-0.1191618;0.01697764;1.43979,0.06937063;0.02692684;1.546674,0.2205637;0.0202383;1.538481,0.1900984;-0.4363616;1.482785,0
3266,-0.3577521;-0.1813319;1.15797,-0.2264772;-0.1610697;1.306279,-0.1201802;0.01814313;1.441986,0.06918464;0.02700488;1.546984,0.2203103;0.02031811;1.538741,0.1900234;-0.4359951;1.482813,0
3299,-0.3524553;-0.1814196;1.161304,-0.2268709;-0.1622049;1.305978,-0.1205268;0.01822147;1.443555,0.06898351;0.02713554;1.547267,0.2200215;0.02041887;1.538983,0.1894979;-0.4356508;1.483247,0
3332,-0.351756;-0.1805562;1.158819,-0.2264272;-0.1616623;1.305644,-0.1207264;0.01876378;1.443874,0.06882812;0.02720304;1.547331,0.219791;0.02052659;1.539017,0.1889528;-0.4353848;1.483287,0
3365,-0.3535771;-0.1800231;1.160751,-0.2260611;-0.1613929;1.305614,-0.1209065;0.019088;1.444335,0.06849698;0.02719609;1.547804,0.2195406;0.02059286;1.538988,0.188863;-0.4352863;1.483048,0
3398,-0.2516069;-0.1891234;1.328702,-0.1959541;-0.1373689;1.368915,-0.1471176;0.08617135;1.487253,0.06819113;0.02741594;1.548221,0.2192928;0.02067753;1.53912,0.1883302;-0.434974;1.483539,0
3430,-0.1639859;-0.1448252;1.282135,-0.1419801;-0.138923;1.365356,-0.1471711;0.08716529;1.489381,0.06803819;0.02755832;1.548463,0.2189203;0.02034707;1.539176,0.1877376;-0.4349701;1.483732,0
3464,-0.2060889;-0.1987307;1.352933,-0.1420962;-0.1386536;1.365657,-0.1472681;0.08732972;1.48987,0.06793268;0.02763811;1.548536,0.2187815;0.02038962;1.539231,0.1875682;-0.4349783;1.483871,0
3497,-0.2058576;-0.1986341;1.354637,-0.1424658;-0.138214;1.366277,-0.1476143;0.0876279;1.490744,0.06762607;0.027964;1.54894,0.2185952;0.02047225;1.539389,0.1871822;-0.4349377;1.484058,0
3531,-0.204168;-0.1998081;1.356046,-0.1426594;-0.1372617;1.367755,-0.1476876;0.08837774;1.492596,0.06738818;0.02820816;1.549321,0.2184267;0.02023628;1.539665,0.1870537;-0.434903;1.484312,0
3565,-0.228802;0.01411228;1.210284,-0.1883017;-0.03612535;1.268661,-0.1475102;0.08850241;1.492898,0.06723811;0.02813947;1.549659,0.2183162;0.020309;1.539655,0.1870055;-0.4348539;1.484286,0
3598,-0.235942;-0.1962797;1.321059,-0.1949397;-0.132076;1.370573,-0.1471613;0.08889131;1.494294,0.06702323;0.02802477;1.55066,0.2182957;0.0204266;1.539905,0.1872762;-0.4346747;1.484674,0
3631,-0.2452999;-0.2116843;1.238923,-0.1948481;-0.1318204;1.370653,-0.1470183;0.08899816;1.494617,0.06592724;0.02775911;1.555233,0.2181952;0.02027407;1.539979,0.1872628;-0.4344579;1.484563,0
3663,-0.1984959;-0.0928772;1.204289,-0.1827371;-0.04421147;1.274334,-0.1472433;0.08898591;1.494434,0.06538328;0.02767511;1.556889,0.2181091;0.02008699;1.539663,0.1873076;-0.4340469;1.483858,0
3697,-0.2234391;-0.01903379;1.175245,-0.2010857;0.008050318;1.25427,-0.1472418;0.08893206;1.495297,0.06497314;0.02705255;1.558701,0.218084;0.01987448;1.540336,0.1874131;-0.4340441;1.484523,0
3734,-0.2106461;-0.1943566;1.378119,-0.194421;-0.1322569;1.371912,-0.1471637;0.08891816;1.495383,0.06290132;0.02724022;1.565297,0.217983;0.01974068;1.54033,0.187346;-0.4340496;1.484448,0
3766,-0.2108538;-0.1946634;1.376867,-0.1944593;-0.1321558;1.371859,-0.147085;0.08891404;1.495464,0.06288591;0.02715038;1.565309,0.2179727;0.01977868;1.540324,0.1873598;-0.4340442;1.484471,0
3797,-0.2189067;-0.176732;1.462253,-0.1944683;-0.1321007;1.371751,-0.1470121;0.08879211;1.495637,0.06289905;0.02716014;1.565213,0.2179876;0.01969488;1.540316,0.1872857;-0.4341533;1.484318,0
